#{"t_start": 1560201018.3968437, "env_id": "Diplomacy_Negotiation-v0"}
r,l,t
-240.0,32,81.139807
-70.0,38,153.325192
-10.0,34,220.849721
-70.0,38,305.90506
80.0,34,373.721695
-270.0,18,429.369067
400.0,41,509.339228
430.0,40,588.967768
240.0,40,661.876851
-240.0,20,737.192331
520.0,41,822.820404
-180.0,32,897.337271
640.0,41,977.022036
-50.0,38,1059.701304
200.0,41,1146.285546
1020.0,40,1226.152251
520.0,40,1303.790671
500.0,28,1359.939586
380.0,41,1455.851353
1280.0,40,1542.18687
710.0,40,1637.449064
530.0,40,1721.399423
280.0,40,1797.459809
270.0,40,1875.562372
-30.0,40,1955.203236
630.0,40,2035.074786
320.0,40,2125.281912
220.0,28,2179.442363
-150.0,41,2258.471213
680.0,40,2335.311515
-260.0,14,2407.960189
140.0,40,2484.816126
-110.0,30,2556.18907
240.0,36,2638.503253
-160.0,18,2701.624825
-180.0,24,2776.911124
680.0,41,2869.225845
420.0,40,2949.748856
190.0,40,3026.721735
100.0,36,3096.57841
60.0,40,3175.552741
-230.0,18,3215.641808
120.0,40,3296.506478
80.0,40,3374.432123
-230.0,18,3440.270444
280.0,40,3517.342331
-40.0,40,3598.929159
-90.0,30,3683.340975
120.0,40,3765.304085
350.0,36,3841.092763
1080.0,40,3925.951137
600.0,41,4010.870694
-200.0,30,4090.151728
450.0,32,4153.437642
1570.0,32,4218.294389
710.0,40,4301.417092
140.0,41,4393.649648
1020.0,40,4472.06355
440.0,26,4528.971499
350.0,41,4610.327401
580.0,40,4692.59854
810.0,40,4767.638872
-190.0,22,4833.230922
690.0,32,4906.591046
770.0,40,4988.292377
940.0,40,5079.328046
610.0,41,5161.559015
260.0,40,5250.458205
510.0,34,5321.843809
950.0,41,5413.058519
290.0,40,5493.285265
-210.0,20,5572.575997
-210.0,18,5651.421236
-250.0,12,5728.407567
350.0,40,5808.171346
230.0,40,5888.009072
370.0,40,5968.56852
90.0,40,6050.571714
-30.0,41,6129.511524
1050.0,40,6211.144974
10.0,41,6289.492039
200.0,30,6351.152979
660.0,41,6432.526822
90.0,40,6509.516761
190.0,40,6589.392866
860.0,40,6667.74279
500.0,41,6757.775066
250.0,41,6841.037532
150.0,40,6920.909491
70.0,40,7003.761747
-170.0,22,7054.983567
-180.0,28,7135.535533
-170.0,34,7216.769479
110.0,40,7296.395518
760.0,41,7374.183146
-230.0,18,7451.615155
-90.0,30,7548.788273
640.0,40,7627.121371
720.0,41,7710.085522
330.0,41,7789.354848
680.0,40,7867.503308
720.0,40,7945.367578
170.0,30,8009.156265
140.0,38,8087.097911
280.0,40,8170.69705
1150.0,40,8253.343102
-180.0,26,8334.707769
-60.0,38,8414.926287
150.0,41,8498.03722
-190.0,34,8583.897604
560.0,40,8664.360953
490.0,41,8758.460242
110.0,41,8837.993904
160.0,41,8918.77969
270.0,40,9007.87103
210.0,41,9096.803354
150.0,40,9178.885651
520.0,40,9259.731428
310.0,36,9329.281529
50.0,41,9403.302418
520.0,38,9484.605074
400.0,32,9560.188125
750.0,41,9639.44878
480.0,41,9721.301276
80.0,41,9799.188313
-170.0,28,9876.180911
-80.0,28,9954.75071
80.0,26,10010.633018
-210.0,24,10083.909522
360.0,40,10163.359659
-170.0,28,10220.081505
620.0,41,10303.344211
-150.0,36,10382.580102
-60.0,40,10458.290242
50.0,40,10537.729712
200.0,40,10626.225082
1000.0,40,10718.050482
70.0,40,10800.031226
300.0,41,10876.483528
-140.0,28,10945.826804
-260.0,14,11022.508904
-300.0,18,11105.684848
-180.0,30,11189.74353
190.0,40,11273.126103
880.0,41,11356.760315
310.0,40,11434.352911
550.0,40,11518.084081
350.0,40,11603.074603
20.0,41,11683.258486
560.0,40,11764.526344
-70.0,32,11845.487059
430.0,28,11905.898629
-110.0,28,11997.055631
1070.0,40,12079.51548
-230.0,22,12156.731324
50.0,40,12237.688504
170.0,40,12318.026949
430.0,34,12388.650262
0.0,41,12473.090923
400.0,40,12555.591989
340.0,32,12622.832612
490.0,40,12708.982924
-110.0,38,12798.583655
20.0,40,12883.219041
150.0,40,12968.060911
500.0,32,13034.270002
180.0,40,13114.208615
60.0,40,13200.600482
-160.0,26,13281.646058
890.0,40,13358.612678
230.0,40,13445.43056
1380.0,40,13529.357718
410.0,41,13624.193761
380.0,40,13719.751691
460.0,30,13781.805969
160.0,38,13860.999015
760.0,40,13940.436029
