#{"t_start": 1560025459.9383922, "env_id": "Diplomacy_Negotiation-v0"}
r,l,t
-190.0,22,70.890204
-200.0,26,138.146999
250.0,41,218.872524
100.0,30,278.248986
-140.0,28,356.459329
1610.0,38,430.526662
230.0,40,523.16281
-220.0,26,598.505959
530.0,40,676.284915
1630.0,38,750.600622
930.0,81,924.965353
10.0,28,984.382661
90.0,32,1050.51083
510.0,40,1127.036395
-220.0,20,1200.097701
510.0,41,1281.973085
-120.0,30,1360.961894
-150.0,36,1440.024333
130.0,40,1517.047902
-40.0,38,1587.964868
-240.0,16,1645.818618
350.0,40,1730.524503
20.0,34,1801.14953
950.0,40,1883.169563
-30.0,40,1958.078982
-100.0,40,2035.171829
-210.0,20,2077.219576
280.0,41,2160.652508
120.0,40,2235.342808
-260.0,18,2304.918177
780.0,40,2390.704916
400.0,40,2478.733366
520.0,34,2552.919488
610.0,40,2632.645304
-80.0,28,2719.872321
200.0,40,2799.242009
200.0,41,2877.936499
280.0,40,2955.684933
520.0,41,3036.673813
-220.0,16,3108.310959
-120.0,36,3195.993828
980.0,41,3282.155
340.0,40,3357.581534
390.0,40,3444.689761
250.0,40,3529.80855
-250.0,10,3607.695165
-240.0,14,3682.956751
100.0,28,3741.677033
440.0,40,3817.491967
-100.0,40,3907.948873
-210.0,22,3982.592803
-90.0,28,4046.606864
560.0,41,4129.668674
270.0,41,4212.902386
80.0,41,4291.168093
310.0,40,4371.149867
1520.0,30,4440.752717
-30.0,40,4514.887316
1680.0,38,4593.697188
530.0,40,4678.329002
510.0,41,4758.895156
170.0,32,4823.995728
510.0,40,4907.61555
600.0,24,4958.461231
540.0,40,5039.87981
1350.0,40,5121.911101
280.0,40,5201.44522
640.0,36,5269.687802
10.0,40,5351.882279
220.0,40,5433.203062
480.0,36,5509.882974
260.0,28,5568.352627
1550.0,40,5645.688984
390.0,40,5726.411904
40.0,40,5805.712132
1250.0,40,5888.436413
360.0,41,5970.174081
360.0,41,6053.700815
230.0,40,6145.034599
0.0,36,6225.158305
150.0,40,6302.272093
910.0,41,6391.437121
-20.0,34,6460.859243
600.0,40,6538.639793
170.0,41,6618.19403
470.0,40,6697.428432
100.0,40,6782.440409
0.0,40,6866.576835
400.0,40,6945.920022
-190.0,22,7031.11115
-210.0,20,7089.649664
160.0,41,7172.309446
-180.0,32,7253.097454
790.0,40,7335.221435
-160.0,36,7415.517145
100.0,40,7500.678301
290.0,40,7586.548284
940.0,40,7667.576573
460.0,40,7751.836693
-30.0,34,7819.686189
-220.0,24,7901.548519
80.0,38,7982.345526
210.0,40,8064.202106
-130.0,30,8132.467605
340.0,40,8212.945148
1540.0,40,8300.078388
-160.0,28,8369.65453
30.0,41,8456.636875
-150.0,34,8533.667337
390.0,38,8612.961971
400.0,40,8695.230391
-100.0,26,8746.256684
810.0,41,8830.243137
290.0,40,8913.250222
240.0,40,8996.67853
-240.0,16,9078.098511
1540.0,28,9137.099991
-160.0,30,9206.973543
-80.0,40,9290.274884
610.0,40,9369.648066
-110.0,38,9453.852809
30.0,32,9524.149758
-130.0,26,9589.701472
290.0,40,9670.325618
-60.0,34,9754.25627
450.0,40,9837.661135
180.0,40,9919.03722
400.0,40,9998.714849
360.0,38,10076.500949
300.0,40,10158.956032
30.0,38,10235.424943
740.0,40,10319.40553
150.0,40,10405.092
-160.0,24,10479.346293
580.0,34,10551.332474
230.0,40,10633.963842
-120.0,36,10717.532397
330.0,41,10803.945882
70.0,40,10888.892998
230.0,40,10965.245565
310.0,41,11046.747502
350.0,30,11107.363219
780.0,40,11190.971164
1740.0,38,11271.948343
840.0,40,11352.431751
-140.0,38,11432.674359
-190.0,34,11509.021019
490.0,41,11591.353892
360.0,41,11672.490784
530.0,30,11730.403107
1120.0,40,11813.253177
390.0,40,11895.90252
160.0,41,11980.212607
80.0,41,12071.919579
420.0,40,12157.510844
0.0,40,12236.614387
440.0,40,12322.164865
900.0,40,12405.809487
10.0,22,12451.430473
-90.0,36,12534.637972
380.0,40,12616.283295
320.0,40,12698.239015
-170.0,30,12783.677908
-230.0,16,12868.607796
190.0,40,12950.563782
-240.0,20,13026.647834
170.0,40,13110.064299
400.0,41,13192.313099
260.0,40,13272.169347
