#{"t_start": 1560215004.8743374, "env_id": "Diplomacy_Negotiation-v0"}
r,l,t
1690.0,38,89.691396
160.0,32,153.568361
-230.0,20,213.842234
-160.0,24,290.967909
420.0,40,374.885798
310.0,40,456.386596
1040.0,40,539.492698
-110.0,24,608.960737
220.0,40,689.138687
-140.0,32,764.732434
590.0,40,836.455774
-180.0,30,924.949843
490.0,40,1001.211931
250.0,40,1082.171986
160.0,40,1163.06177
-230.0,26,1240.09462
210.0,41,1317.440548
380.0,40,1395.305059
260.0,38,1470.250029
-240.0,16,1547.502331
590.0,40,1638.45199
480.0,41,1716.346875
200.0,40,1790.256902
-200.0,20,1870.023625
350.0,41,1950.11295
240.0,40,2031.885861
-200.0,24,2110.774375
130.0,30,2170.429302
520.0,40,2246.577913
470.0,40,2328.291378
320.0,40,2409.651396
510.0,40,2488.135367
330.0,34,2555.357961
330.0,40,2636.700315
-230.0,22,2714.741032
470.0,41,2793.668358
840.0,40,2875.847157
-160.0,34,2953.64888
430.0,40,3028.743662
480.0,40,3110.943808
1210.0,40,3188.182252
360.0,40,3265.611151
510.0,41,3347.020178
-270.0,16,3424.488572
770.0,41,3503.863696
610.0,40,3591.085782
160.0,40,3679.359434
590.0,40,3757.824421
130.0,40,3833.313536
-200.0,20,3888.418365
260.0,41,3964.378914
540.0,41,4049.041248
-240.0,16,4123.586526
190.0,41,4200.187407
170.0,24,4249.983047
-10.0,38,4320.189799
-190.0,22,4398.28035
610.0,41,4486.784324
-160.0,28,4562.817569
-110.0,26,4639.204224
1270.0,41,4723.001619
110.0,41,4798.259165
-10.0,28,4856.244433
220.0,41,4940.118631
770.0,41,5018.963872
210.0,40,5092.782567
-220.0,14,5169.096205
490.0,36,5236.72088
-50.0,34,5317.292231
240.0,40,5404.519612
-180.0,22,5467.591453
-180.0,24,5549.662287
130.0,41,5634.118633
30.0,34,5704.154288
130.0,40,5784.044376
570.0,40,5863.651154
60.0,34,5944.475034
650.0,40,6022.880376
730.0,41,6108.927987
510.0,41,6191.414894
20.0,41,6270.944817
370.0,41,6350.700659
-150.0,26,6427.179327
600.0,40,6504.969737
-230.0,14,6582.059386
320.0,40,6674.354561
160.0,40,6752.084418
-260.0,14,6804.697333
550.0,41,6896.861088
360.0,40,6975.569952
-250.0,18,7050.916693
570.0,41,7135.259258
10.0,36,7214.129074
-250.0,28,7296.425607
1380.0,40,7376.0837
-280.0,14,7455.630239
540.0,41,7533.794298
460.0,41,7611.336466
330.0,40,7692.061454
-200.0,16,7747.622566
1290.0,40,7835.239479
-200.0,26,7908.46124
600.0,34,7977.421767
770.0,40,8057.556134
510.0,40,8134.622501
140.0,40,8219.802523
-70.0,24,8270.115482
290.0,41,8354.437202
200.0,40,8438.34986
490.0,40,8520.561275
1130.0,41,8605.13808
750.0,41,8683.466512
120.0,40,8759.592743
1010.0,40,8844.803039
560.0,40,8920.614043
-240.0,12,8998.449975
150.0,41,9077.646985
-10.0,40,9159.734102
360.0,34,9237.922856
-170.0,22,9295.018052
-190.0,14,9365.167235
440.0,40,9445.917394
200.0,34,9511.80389
460.0,40,9592.967802
110.0,40,9673.073447
0.0,28,9730.348842
100.0,40,9812.763494
-220.0,18,9890.838848
410.0,40,9969.466779
20.0,32,10033.222407
220.0,34,10105.143058
480.0,41,10183.995702
160.0,41,10272.105623
540.0,40,10352.057279
10.0,40,10427.208485
1020.0,40,10511.567038
440.0,40,10588.876416
80.0,40,10672.806139
-130.0,30,10757.973869
50.0,36,10832.126076
170.0,40,10909.304099
440.0,40,10987.817294
50.0,41,11067.944459
460.0,40,11151.597874
1500.0,28,11210.710778
330.0,41,11288.861247
330.0,40,11365.303431
480.0,40,11437.414351
170.0,40,11519.675588
340.0,40,11598.376089
-140.0,30,11678.10135
370.0,40,11752.687843
280.0,41,11835.114631
-100.0,34,11918.603263
-260.0,12,11974.450366
-130.0,28,12038.330713
-240.0,20,12113.306761
190.0,41,12189.997976
-80.0,32,12257.486726
180.0,40,12334.58864
50.0,41,12420.106444
370.0,40,12500.817759
440.0,40,12583.329413
-100.0,30,12663.926653
300.0,40,12741.287701
-240.0,20,12820.43589
410.0,40,12898.221134
-100.0,28,12955.84358
170.0,41,13043.201624
