#{"t_start": 1560080602.9935894, "env_id": "Diplomacy_Negotiation-v0"}
r,l,t
180.0,40,86.659549
1070.0,40,167.833855
200.0,41,250.154901
-80.0,40,333.335205
-160.0,30,412.274774
350.0,40,489.18693
590.0,40,576.058998
730.0,40,650.732244
370.0,40,727.669676
-30.0,41,806.280487
-130.0,32,884.950897
60.0,41,969.918108
50.0,41,1049.019623
100.0,40,1126.299325
190.0,40,1208.254622
90.0,40,1284.045562
-210.0,32,1359.569799
490.0,41,1451.289132
520.0,41,1530.666286
110.0,40,1620.725171
490.0,26,1677.968732
180.0,40,1755.877798
510.0,40,1837.374958
80.0,41,1918.696518
120.0,32,1981.297301
300.0,40,2062.839064
1140.0,40,2141.927536
290.0,40,2220.940511
720.0,40,2299.005723
110.0,40,2374.256692
960.0,41,2454.044636
810.0,41,2539.364216
460.0,41,2628.427763
230.0,30,2689.4218
-210.0,22,2751.474472
480.0,40,2840.871715
610.0,41,2920.133333
90.0,41,3003.005765
960.0,40,3081.253272
160.0,41,3165.265582
240.0,41,3253.378548
60.0,40,3331.341201
40.0,40,3427.581761
40.0,40,3510.16078
290.0,41,3598.504348
-100.0,36,3677.789071
420.0,22,3725.202741
-170.0,30,3807.087962
150.0,40,3892.19841
-10.0,40,3966.272219
680.0,40,4044.91279
570.0,41,4128.406218
