#{"t_start": 1560006553.984053, "env_id": "Diplomacy_Negotiation-v0"}
r,l,t
540.0,40,87.472338
330.0,40,164.302404
1330.0,40,244.275899
-80.0,34,320.879675
1550.0,38,406.295824
380.0,40,491.803756
70.0,38,569.094794
10.0,38,646.95914
-180.0,24,724.919039
-200.0,24,800.83339
710.0,40,878.898804
-190.0,36,955.345114
250.0,41,1039.974119
-170.0,26,1124.409738
420.0,40,1202.243923
-160.0,28,1277.019877
1310.0,40,1357.111617
100.0,40,1435.97783
30.0,41,1518.845181
660.0,40,1601.440147
1440.0,41,1684.036304
780.0,40,1766.310639
