#{"t_start": 1560275978.8383784, "env_id": "Diplomacy_Negotiation-v0"}
r,l,t
450.0,41,90.644869
-240.0,18,165.122985
180.0,40,245.955768
230.0,41,325.359495
-160.0,40,409.335459
200.0,41,489.395782
460.0,41,565.424134
320.0,40,647.92124
270.0,41,728.536531
-270.0,16,802.899156
840.0,40,889.665969
330.0,40,974.441681
790.0,41,1052.332152
-140.0,30,1132.366593
-90.0,41,1210.213264
70.0,40,1288.81227
500.0,40,1380.922673
100.0,41,1468.178235
390.0,40,1545.992395
-210.0,24,1615.325507
210.0,40,1691.805415
130.0,40,1769.104878
1050.0,40,1856.312585
410.0,40,1929.737427
240.0,22,1975.863042
710.0,40,2057.563324
290.0,40,2137.129266
1070.0,40,2214.295833
80.0,41,2289.113611
230.0,41,2371.824891
-100.0,30,2455.723677
1560.0,40,2532.186178
10.0,36,2620.307392
-150.0,30,2698.255052
-280.0,14,2776.347249
60.0,34,2839.688068
-120.0,36,2918.527766
-130.0,30,2995.932195
90.0,38,3081.273644
210.0,40,3161.809093
500.0,40,3241.306526
430.0,40,3322.015559
800.0,40,3401.748602
-200.0,18,3487.88565
-200.0,30,3562.576545
220.0,40,3643.842841
390.0,24,3696.399399
-210.0,16,3775.925249
-170.0,38,3854.092484
680.0,40,3936.094332
330.0,40,4018.483639
-20.0,32,4106.881058
520.0,40,4182.369521
710.0,41,4262.979596
1080.0,40,4339.534537
310.0,40,4432.14589
-50.0,34,4511.269308
-190.0,24,4590.169801
670.0,40,4672.694523
800.0,41,4754.029951
1050.0,40,4837.376658
510.0,40,4922.783731
620.0,41,5008.513955
-100.0,40,5084.524003
170.0,40,5158.946731
-160.0,22,5235.905427
570.0,40,5319.08804
250.0,40,5398.101297
460.0,32,5464.731054
-160.0,26,5536.212279
1740.0,24,5591.296045
-210.0,36,5668.577226
40.0,32,5733.788021
680.0,40,5823.895159
370.0,41,5902.095496
1440.0,41,5986.393103
360.0,40,6065.478485
340.0,40,6143.112604
290.0,41,6223.369391
430.0,41,6306.658954
-230.0,22,6384.095739
890.0,40,6464.759722
350.0,40,6538.988349
280.0,34,6612.051465
320.0,40,6700.257897
330.0,40,6778.199838
110.0,41,6856.963662
470.0,40,6950.092407
-160.0,26,7008.823398
490.0,40,7089.205831
390.0,36,7162.822145
290.0,41,7243.098289
-50.0,34,7326.613206
230.0,41,7407.583441
710.0,41,7490.312195
-170.0,32,7554.575087
380.0,38,7636.351822
640.0,41,7720.692415
480.0,41,7802.341934
740.0,40,7887.88892
350.0,40,7967.170495
260.0,41,8064.026974
250.0,40,8145.668236
120.0,40,8234.879642
1000.0,41,8319.146636
-120.0,40,8398.448359
530.0,41,8486.222912
340.0,40,8563.58658
430.0,26,8619.473959
-250.0,38,8706.232801
530.0,40,8784.219804
340.0,41,8871.672493
160.0,24,8922.465585
130.0,40,9001.39055
100.0,40,9086.468184
-200.0,30,9168.077339
140.0,40,9256.261908
-110.0,32,9339.607466
1510.0,30,9406.286757
150.0,28,9464.761645
