#{"t_start": 1560252615.5333686, "env_id": "Diplomacy_Negotiation-v0"}
r,l,t
470.0,40,86.777829
250.0,40,164.305426
380.0,41,246.811235
-270.0,14,326.873587
100.0,41,405.249329
260.0,40,481.636436
490.0,41,564.69737
460.0,41,645.532012
500.0,40,721.45583
640.0,41,805.960973
660.0,40,896.790098
140.0,40,983.81842
390.0,40,1060.804777
260.0,40,1138.236963
480.0,40,1216.948282
400.0,32,1285.902252
110.0,41,1365.228717
290.0,32,1430.017941
280.0,41,1513.428375
260.0,41,1593.528435
40.0,30,1654.957169
680.0,40,1737.350608
280.0,34,1810.831052
490.0,40,1899.22565
10.0,40,1979.505079
360.0,34,2047.250511
470.0,40,2128.187618
230.0,30,2190.442951
410.0,40,2268.970248
200.0,41,2352.774772
-150.0,28,2434.017878
490.0,41,2518.600254
210.0,40,2595.033408
220.0,41,2678.685532
-10.0,40,2756.540222
290.0,36,2830.585225
-260.0,14,2906.818973
460.0,40,2990.536438
430.0,40,3072.128965
180.0,41,3154.263666
-240.0,12,3533.463415
290.0,38,3782.791122
-80.0,34,4142.973976
