#{"t_start": 1560341234.6120174, "env_id": "Diplomacy_Negotiation-v0"}
r,l,t
-50.0,32,71.164475
50.0,34,134.063856
-70.0,36,222.844039
310.0,40,308.657481
410.0,40,391.49831
400.0,41,474.026834
120.0,38,560.07465
-80.0,36,639.248344
-70.0,34,717.788518
450.0,40,797.196638
40.0,40,889.956451
350.0,40,963.803124
-90.0,38,1043.151033
-180.0,30,1125.093456
-170.0,28,1202.830703
280.0,40,1290.316497
730.0,40,1369.842723
130.0,40,1456.450907
20.0,40,1541.815434
340.0,40,1621.139608
290.0,40,1703.899651
330.0,41,1787.619684
670.0,40,1873.755638
590.0,40,1960.861704
1390.0,40,2038.391763
-30.0,40,2127.197004
1530.0,38,2210.94301
580.0,40,2290.586833
-170.0,28,2371.450904
30.0,40,2448.109349
-130.0,26,2528.095829
1100.0,40,2616.17126
320.0,28,2674.737365
620.0,40,2759.830459
-110.0,40,2841.12159
530.0,40,2920.938683
100.0,40,3002.325742
810.0,40,3081.448266
150.0,41,3161.148197
200.0,41,3243.134366
540.0,40,3320.209584
550.0,40,3397.280653
1650.0,34,3472.777526
660.0,41,3557.436647
-150.0,30,3635.141472
510.0,41,3718.176125
230.0,41,3805.554049
-250.0,14,3889.324719
280.0,40,3971.910998
-150.0,34,4050.667828
130.0,41,4134.073304
150.0,40,4220.191294
-50.0,34,4293.493812
-240.0,18,4349.038208
520.0,40,4435.230863
570.0,41,4525.377245
1410.0,40,4605.631432
710.0,41,4689.38421
380.0,40,4769.792522
570.0,41,4852.090361
-130.0,28,4930.239893
-210.0,22,5010.124474
240.0,41,5094.765741
560.0,41,5196.474845
-160.0,28,5275.0317
340.0,40,5355.801766
140.0,41,5442.35155
40.0,40,5522.244358
-210.0,16,5609.982137
540.0,41,5694.369916
-120.0,38,5786.141161
150.0,41,5872.551746
560.0,40,5952.516236
-270.0,16,6016.48368
-150.0,34,6087.513151
260.0,40,6168.854357
1250.0,40,6246.966894
-70.0,36,6323.233283
90.0,40,6403.900014
-120.0,30,6490.846202
330.0,40,6572.356025
260.0,40,6648.988583
-250.0,16,6737.122096
