#{"t_start": 1560062541.1552162, "env_id": "Diplomacy_Negotiation-v0"}
r,l,t
210.0,38,85.583807
500.0,41,167.091932
530.0,40,245.04309
340.0,40,328.038856
-10.0,38,405.902926
-220.0,28,480.359598
-250.0,16,561.162919
-170.0,34,635.187587
-60.0,30,694.510065
650.0,41,777.496015
70.0,40,857.681122
800.0,40,941.108792
370.0,41,1020.063561
70.0,38,1101.243722
270.0,41,1180.718093
20.0,28,1240.729523
-120.0,36,1324.350894
360.0,40,1396.55245
1500.0,41,1478.901346
510.0,40,1562.162717
-260.0,12,1637.937444
90.0,40,1712.64608
170.0,40,1787.064016
-120.0,32,1865.200032
70.0,32,1931.329861
1200.0,40,2013.307729
1240.0,40,2096.365274
-10.0,38,2174.155309
30.0,40,2255.10167
440.0,40,2334.340833
570.0,41,2414.950413
510.0,40,2502.623787
-260.0,14,2573.324744
240.0,41,2660.256347
-200.0,18,2738.538099
290.0,40,2814.522455
330.0,40,2912.208212
520.0,34,2977.518835
350.0,41,3063.040528
-240.0,16,3137.842014
-230.0,26,3220.564964
800.0,41,3302.483768
70.0,32,3368.391094
-150.0,32,3442.69229
1500.0,22,3492.303972
850.0,40,3568.817024
-170.0,26,3631.364744
280.0,41,3718.775217
320.0,41,3805.295738
300.0,41,3889.951811
-10.0,40,3973.823931
290.0,41,4069.666378
-100.0,34,4150.887173
330.0,41,4236.532081
450.0,40,4322.90495
240.0,40,4399.386612
180.0,40,4482.65656
680.0,40,4564.421062
130.0,32,4630.309213
510.0,40,4715.030816
170.0,40,4804.958965
620.0,32,4876.37708
270.0,40,4959.293872
480.0,40,5040.054783
790.0,41,5121.963252
-240.0,16,5201.151951
240.0,41,5280.635447
170.0,40,5367.502045
70.0,32,5437.695576
-250.0,14,5514.707608
480.0,41,5599.407388
700.0,41,5685.285089
-30.0,40,5768.551045
490.0,40,5845.712709
-70.0,28,5935.135729
390.0,40,6014.358581
470.0,41,6098.918215
60.0,40,6179.635953
460.0,40,6258.000039
220.0,24,6314.653503
50.0,28,6375.316254
0.0,38,6465.983618
-110.0,32,6547.406868
540.0,34,6622.116709
-180.0,28,6699.990749
110.0,36,6772.598267
320.0,40,6856.300016
180.0,40,6934.430522
-20.0,40,7013.646056
-210.0,16,7096.403452
640.0,40,7171.054089
510.0,40,7250.941785
690.0,41,7336.197176
-140.0,38,7422.096927
170.0,41,7509.047886
300.0,40,7588.698103
250.0,38,7664.409447
130.0,41,7745.062051
340.0,40,7825.368919
240.0,40,7913.184603
160.0,40,8003.551345
350.0,40,8097.975572
-230.0,12,8176.139069
20.0,36,8254.571907
750.0,40,8335.091341
840.0,40,8422.979298
-230.0,38,8502.51335
420.0,40,8607.120555
50.0,40,8689.911994
390.0,40,8774.490065
190.0,38,8851.772572
80.0,40,8934.627578
430.0,40,9016.452499
-230.0,20,9096.374267
-110.0,20,9171.228078
370.0,32,9240.050558
-60.0,38,9320.381738
50.0,40,9398.81416
150.0,40,9478.195988
830.0,40,9565.08709
740.0,40,9648.633306
960.0,40,9731.510778
360.0,40,9816.581597
330.0,40,9899.997663
210.0,30,9959.741106
290.0,41,10044.180425
-110.0,32,10122.458881
680.0,40,10204.527443
290.0,40,10281.167749
170.0,40,10362.190386
-210.0,32,10442.65815
190.0,36,10515.613206
350.0,41,10601.301994
720.0,40,10683.70865
330.0,28,10740.670828
240.0,41,10822.495682
-150.0,34,10892.015896
260.0,40,10972.040481
410.0,40,11051.725613
0.0,24,11102.725798
30.0,22,11153.619683
-40.0,36,11232.156023
400.0,40,11311.495489
1530.0,38,11389.491028
820.0,40,11465.60166
600.0,40,11550.471335
240.0,40,11629.961133
1000.0,40,11709.833123
350.0,40,11789.60282
250.0,40,11872.809296
1030.0,41,11960.502783
270.0,40,12041.948097
-320.0,20,12121.395846
420.0,41,12203.845324
150.0,40,12283.552796
90.0,40,12362.582467
320.0,40,12448.187605
-20.0,40,12524.717945
-50.0,38,12618.33253
-220.0,24,12684.662425
230.0,40,12761.093737
110.0,40,12836.648483
-70.0,40,12911.956221
500.0,41,12994.863646
1630.0,38,13074.262125
660.0,41,13162.334456
350.0,41,13253.156156
-40.0,38,13331.916235
270.0,40,13416.875532
1300.0,40,13498.906164
-260.0,12,13560.767235
-110.0,36,13637.345125
410.0,41,13719.836611
830.0,40,13793.309947
710.0,40,13872.357225
630.0,40,13955.370541
-230.0,16,14048.055079
320.0,40,14129.273358
-240.0,12,14205.913318
260.0,40,14287.987362
240.0,40,14372.629029
80.0,40,14454.778523
-130.0,36,14534.335768
410.0,32,14597.036738
-60.0,32,14674.99914
910.0,40,14764.885829
-110.0,38,14843.4413
230.0,40,14921.859932
350.0,40,15001.243754
350.0,40,15083.816544
300.0,40,15169.82344
470.0,41,15250.730297
330.0,38,15328.14671
400.0,41,15412.692431
180.0,40,15492.696481
340.0,40,15569.357463
-270.0,14,15647.564335
120.0,41,15736.360263
-130.0,30,15798.909153
-150.0,24,15876.496064
350.0,40,15954.735308
390.0,40,16025.952421
310.0,40,16103.883011
580.0,40,16181.776125
240.0,32,16248.885277
-110.0,30,16329.920979
390.0,34,16399.51665
200.0,40,16483.543688
210.0,40,16560.613006
260.0,41,16647.192358
130.0,34,16720.493806
1370.0,40,16806.162788
120.0,40,16886.794678
390.0,41,16965.119004
330.0,40,17046.439319
350.0,40,17126.369338
470.0,41,17214.395159
170.0,35,17515.049987
520.0,40,17706.525194
-20.0,32,17853.036366
-220.0,18,18015.701744
