#{"t_start": 1559916990.83382, "env_id": "Diplomacy_Negotiation-v0"}
r,l,t
-170.0,28,72.187025
1490.0,40,156.418337
-190.0,22,232.351272
600.0,40,312.265318
90.0,41,392.328521
530.0,30,457.19089
400.0,34,527.293307
160.0,40,617.861472
-220.0,30,695.911914
1020.0,40,775.46388
550.0,40,850.502977
220.0,41,939.667787
-120.0,30,1012.57482
-50.0,40,1090.728093
-260.0,12,1155.877109
-100.0,24,1203.048841
470.0,28,1264.454686
110.0,40,1341.811015
390.0,41,1419.613427
570.0,40,1500.648456
-150.0,40,1578.679461
80.0,41,1660.615165
450.0,41,1738.155703
50.0,32,1800.958465
260.0,41,1882.340724
200.0,40,1960.160297
370.0,40,2045.142811
-40.0,32,2129.587173
420.0,40,2210.59449
-150.0,34,2298.369266
90.0,40,2379.44724
300.0,40,2463.054479
550.0,41,2549.745795
830.0,40,2623.682947
310.0,40,2704.49491
160.0,36,2775.290052
-30.0,40,2853.948656
830.0,41,2934.532384
-70.0,34,3013.242248
300.0,40,3099.787122
180.0,40,3174.656307
310.0,41,3251.449212
770.0,40,3326.54361
-220.0,18,3402.221207
710.0,40,3482.029017
470.0,40,3564.431308
360.0,40,3654.220564
620.0,41,3734.969558
10.0,28,3795.975346
1260.0,40,3875.485517
290.0,38,3947.812931
-170.0,22,4020.87074
-60.0,41,4099.603858
-180.0,26,4177.58956
540.0,41,4259.328994
-170.0,20,4309.651231
260.0,40,4395.823134
-60.0,30,4460.114699
410.0,41,4540.756909
1090.0,41,4623.671714
430.0,40,4701.045952
160.0,40,4785.913176
-120.0,26,4849.473066
200.0,40,4927.332694
820.0,40,5001.861891
20.0,40,5083.670832
-160.0,32,5162.68742
470.0,40,5241.621433
680.0,41,5326.25995
200.0,28,5386.823692
-230.0,20,5462.475171
-220.0,20,5538.382247
-170.0,24,5597.275662
210.0,28,5653.976584
510.0,40,5733.201198
150.0,28,5788.835931
160.0,40,5864.409391
410.0,40,5938.754982
-170.0,40,6019.136295
860.0,40,6102.512409
60.0,40,6177.718124
160.0,40,6258.74568
140.0,40,6339.64232
240.0,40,6421.672432
470.0,40,6497.692538
60.0,30,6558.573511
-160.0,36,6635.893389
500.0,32,6699.822992
-250.0,18,6773.868681
240.0,40,6853.060555
-170.0,36,6930.515701
260.0,41,7008.601339
270.0,40,7091.89566
-120.0,32,7169.213103
810.0,41,7258.791609
1020.0,40,7333.478886
-220.0,18,7414.297777
300.0,41,7507.304431
-190.0,20,7577.185297
-200.0,34,7659.790319
310.0,40,7741.297683
50.0,40,7827.315071
340.0,40,7911.130659
-160.0,38,7994.543519
290.0,32,8060.91842
220.0,40,8153.531089
210.0,41,8237.502108
1650.0,34,8312.01008
40.0,41,8394.585686
-90.0,28,8460.478571
500.0,40,8544.508239
-110.0,32,8625.282964
-20.0,40,8704.069936
1120.0,41,8788.960587
-10.0,40,8872.383465
170.0,40,8960.085088
40.0,40,9038.623873
290.0,40,9120.554116
320.0,41,9204.728265
260.0,36,9274.656226
10.0,22,9321.725841
1580.0,30,9389.147675
340.0,41,9471.248766
400.0,41,9554.154325
-180.0,28,9634.10211
570.0,40,9717.334097
-160.0,30,9792.729507
70.0,40,9871.489193
80.0,40,9953.650512
100.0,40,10032.1782
20.0,41,10124.446504
-300.0,24,10202.304365
-200.0,16,10282.20899
130.0,38,10353.532299
400.0,41,10441.534984
740.0,41,10526.263592
-280.0,18,10577.090604
60.0,40,10658.973043
270.0,41,10744.442873
250.0,40,10823.821464
-110.0,26,10909.880937
-160.0,28,10966.498634
1000.0,41,11056.748826
910.0,40,11139.881826
90.0,40,11221.596208
-260.0,24,11300.789158
350.0,40,11386.266302
370.0,40,11469.173696
40.0,40,11553.275527
410.0,40,11642.172165
260.0,40,11725.636194
450.0,40,11808.021443
-190.0,28,11887.060818
-190.0,20,11974.158662
360.0,40,12055.497718
140.0,41,12137.127103
320.0,36,12210.356925
360.0,40,12297.6207
510.0,41,12383.482516
-260.0,16,12445.487298
-280.0,10,12521.790321
-230.0,24,12605.791792
-170.0,24,12681.327473
550.0,40,12763.154245
-100.0,32,12849.348545
350.0,41,12943.416119
-20.0,40,13023.128707
-140.0,34,13102.718111
250.0,40,13188.910282
-260.0,12,13268.311138
210.0,40,13353.571473
