#{"t_start": 1560013981.8977752, "env_id": "Diplomacy_Negotiation-v0"}
r,l,t
390.0,36,80.518994
20.0,40,155.496714
320.0,40,230.23143
-230.0,14,306.597832
270.0,40,383.790176
220.0,40,466.686735
150.0,34,532.985907
140.0,41,611.080646
-210.0,28,673.341062
500.0,40,758.265862
1510.0,20,800.761805
360.0,41,885.595652
60.0,41,971.964794
310.0,41,1057.369113
-200.0,26,1112.608647
390.0,41,1192.043934
-70.0,40,1270.797611
200.0,40,1357.041668
300.0,40,1435.276604
450.0,40,1517.542504
290.0,40,1594.738573
260.0,40,1669.940667
160.0,41,1750.636386
-170.0,32,1826.748216
60.0,40,1908.643144
230.0,40,1986.311615
140.0,40,2074.671431
-180.0,30,2154.621477
130.0,72,2310.727724
-210.0,36,2389.071723
60.0,30,2454.782664
130.0,40,2540.464042
240.0,40,2621.045081
530.0,40,2696.70502
410.0,41,2778.184245
70.0,20,2819.871727
30.0,40,2901.581903
560.0,41,2981.906947
-260.0,18,3031.036417
-100.0,32,3104.585839
170.0,40,3185.029307
520.0,40,3266.940717
1300.0,40,3344.880058
900.0,41,3425.954329
90.0,28,3487.682733
1490.0,41,3567.37945
1530.0,38,3640.100069
270.0,41,3715.357679
60.0,40,3797.608062
90.0,40,3878.790678
390.0,40,3958.831738
-140.0,24,4040.030983
160.0,30,4100.295487
200.0,34,4171.630632
40.0,41,4251.464623
410.0,40,4337.135948
400.0,40,4415.599767
390.0,41,4497.917848
480.0,40,4582.520074
430.0,41,4659.428576
500.0,40,4737.692932
760.0,40,4816.233546
590.0,40,4895.732055
790.0,40,4974.331065
360.0,41,5057.081057
-90.0,38,5135.497068
70.0,26,5188.897932
-150.0,26,5265.258021
-90.0,28,5331.800504
320.0,41,5413.652505
70.0,40,5488.437166
310.0,40,5566.112475
360.0,41,5647.622739
-240.0,20,5724.166245
-210.0,18,5802.710507
370.0,40,5881.035001
-140.0,36,5966.657531
290.0,41,6048.027024
-210.0,14,6133.011918
-240.0,20,6212.882207
560.0,40,6295.371764
160.0,41,6381.184149
100.0,38,6456.16194
630.0,34,6522.412429
760.0,40,6602.389583
-250.0,22,6685.131365
930.0,40,6772.066384
80.0,34,6840.875103
590.0,40,6923.866103
-30.0,40,7007.170392
-160.0,32,7091.032226
680.0,40,7172.853612
320.0,41,7258.164505
360.0,41,7339.660969
220.0,40,7428.465177
160.0,40,7512.950508
940.0,40,7598.881331
-240.0,16,7672.991506
660.0,41,7764.643906
330.0,41,7851.516035
500.0,41,7937.10438
170.0,40,8015.634803
360.0,40,8096.412075
-40.0,30,8170.112885
-200.0,14,8236.206371
-170.0,28,8319.020614
230.0,40,8403.492845
280.0,34,8472.073937
440.0,41,8556.06514
510.0,41,8644.700063
320.0,40,8726.662493
820.0,40,8807.686679
1110.0,40,8889.485358
140.0,41,8968.444547
280.0,41,9050.158091
520.0,40,9137.621926
510.0,40,9224.116722
110.0,36,9300.787483
430.0,41,9384.121906
220.0,40,9469.536855
80.0,40,9556.580405
-210.0,22,9632.453877
220.0,40,9711.743795
270.0,40,9796.988197
-240.0,18,9874.688876
1360.0,40,9957.463509
550.0,41,10041.424705
350.0,40,10119.889319
270.0,40,10200.001619
570.0,40,10283.179883
450.0,41,10369.412314
350.0,40,10450.154997
1170.0,41,10535.971336
130.0,40,10614.949174
500.0,41,10699.086897
-50.0,40,10782.592915
510.0,40,10864.624352
290.0,40,10944.614023
0.0,40,11034.985267
1050.0,40,11120.351697
500.0,41,11203.681477
300.0,32,11269.898862
850.0,41,11357.905113
180.0,38,11432.01655
