#{"t_start": 1560150494.3026621, "env_id": "Diplomacy_Negotiation-v0"}
r,l,t
320.0,40,89.785994
250.0,40,165.883697
170.0,41,243.265388
-280.0,14,313.726135
-30.0,40,397.235965
150.0,40,474.56336
-170.0,34,557.322364
690.0,41,636.601319
-20.0,34,706.94656
-100.0,32,795.996525
-100.0,34,876.353936
1780.0,28,934.311481
690.0,40,1021.127883
-50.0,24,1072.010839
270.0,40,1151.531811
510.0,40,1233.756075
150.0,30,1297.792857
610.0,41,1381.074125
280.0,40,1457.931227
390.0,41,1535.745472
660.0,41,1617.272708
520.0,40,1705.659453
-260.0,24,1772.905958
270.0,40,1855.193607
900.0,41,1935.093761
400.0,41,2020.133323
360.0,40,2111.083659
400.0,40,2193.682381
-60.0,40,2275.195091
290.0,40,2361.182128
400.0,40,2441.434435
700.0,40,2520.263135
90.0,24,2572.025905
440.0,40,2650.723216
970.0,41,2725.257439
130.0,40,2801.375498
950.0,41,2884.141122
-220.0,16,2942.70879
340.0,41,3026.420922
-220.0,18,3096.17493
160.0,40,3174.654639
240.0,40,3256.34742
880.0,41,3334.464675
340.0,40,3414.864882
-190.0,26,3483.931851
1500.0,36,3554.129581
780.0,34,3622.895037
700.0,40,3705.732723
-240.0,16,3770.944957
620.0,40,3844.311392
240.0,36,3918.669774
-110.0,40,3997.52146
280.0,34,4061.307141
400.0,40,4140.575172
480.0,41,4219.251336
240.0,24,4267.758593
-230.0,14,4343.029834
-160.0,36,4420.69196
30.0,40,4506.738973
530.0,40,4585.848197
-40.0,32,4650.443794
-70.0,32,4730.385808
920.0,40,4811.951035
580.0,40,4890.926757
60.0,40,4968.26277
700.0,38,5042.23982
240.0,40,5125.867452
-250.0,10,5203.26917
550.0,41,5279.571911
-210.0,18,5337.218132
-130.0,24,5421.689458
260.0,36,5505.280931
440.0,40,5579.235193
860.0,40,5658.490098
300.0,40,5737.771375
260.0,40,5826.049119
950.0,40,5903.873217
350.0,40,5979.870331
750.0,41,6066.855323
-30.0,32,6144.071423
-230.0,24,6222.359219
-170.0,28,6276.508184
720.0,40,6353.625405
-60.0,40,6437.118366
160.0,41,6520.457611
290.0,26,6577.774166
-130.0,36,6659.002671
550.0,40,6742.711596
-100.0,28,6823.868161
580.0,40,6908.480847
360.0,40,6990.358152
280.0,40,7071.522628
120.0,40,7152.974277
-90.0,40,7231.284833
930.0,41,7310.67292
450.0,40,7389.556495
490.0,40,7469.523243
630.0,40,7558.064848
80.0,34,7623.624788
220.0,26,7678.219859
-280.0,12,7754.012845
460.0,41,7841.262751
690.0,40,7923.29909
-90.0,24,8007.186357
-130.0,26,8084.819545
-230.0,24,8169.944249
-230.0,22,8248.871436
-80.0,24,8304.065886
1360.0,40,8391.422912
660.0,40,8473.81896
410.0,40,8553.57282
1760.0,34,8622.598228
210.0,40,8696.841064
60.0,26,8752.438326
700.0,81,8909.710032
50.0,40,8988.298008
1530.0,32,9060.778337
-190.0,20,9121.672378
-130.0,36,9209.995543
390.0,40,9291.445319
