#{"t_start": 1560256854.4272122, "env_id": "Diplomacy_Negotiation-v0"}
r,l,t
660.0,40,92.306024
510.0,40,168.210085
210.0,40,245.243109
50.0,41,351.724563
10.0,40,429.090594
20.0,41,509.850297
800.0,40,587.454427
-130.0,28,646.877656
190.0,40,724.232086
730.0,40,811.600467
100.0,40,890.85628
-190.0,38,967.083044
120.0,41,1044.490575
-170.0,38,1120.997093
20.0,41,1198.452678
410.0,40,1279.6535
130.0,41,1360.835125
-200.0,32,1427.865831
470.0,40,1509.518727
280.0,41,1597.583201
100.0,42,1693.545413
-270.0,12,1768.998674
-180.0,38,1841.694747
-230.0,28,1910.828379
170.0,40,1990.993311
300.0,40,2072.788292
580.0,40,2149.486419
-280.0,28,2225.115805
170.0,40,2300.021613
-190.0,22,2376.512034
-140.0,32,2463.876344
30.0,40,2544.494326
410.0,40,2627.637489
550.0,40,2705.059051
190.0,40,2777.512063
630.0,41,2861.002816
110.0,40,2933.28915
-60.0,34,3005.160462
-120.0,40,3089.635113
-170.0,38,3170.304894
-180.0,26,3258.173471
630.0,40,3344.221564
550.0,41,3427.654181
180.0,40,3509.534651
-150.0,24,3585.118501
530.0,41,3665.328647
-270.0,14,3743.444746
-40.0,40,3828.13411
750.0,40,3904.635548
-20.0,40,3982.52124
850.0,80,4139.886829
1570.0,40,4219.133759
-90.0,34,4285.546391
180.0,41,4365.715279
100.0,40,4451.833381
280.0,38,4537.629584
20.0,40,4626.648196
350.0,40,4715.270258
-120.0,28,4797.46793
-140.0,22,4872.250999
-40.0,28,4928.225173
-100.0,30,5006.144477
-230.0,32,5083.518234
460.0,40,5173.112673
410.0,41,5253.311422
90.0,41,5335.193832
140.0,40,5418.433273
-120.0,36,5501.377452
-210.0,30,5588.282523
550.0,28,5647.127193
-240.0,16,5714.093675
240.0,40,5785.73783
-80.0,40,5867.275829
150.0,40,5953.647228
-130.0,38,6033.637658
670.0,40,6114.393352
-240.0,20,6187.257329
-300.0,32,6255.620808
-170.0,24,6337.169894
-30.0,41,6417.735204
470.0,40,6499.995053
-50.0,40,6579.689378
-250.0,14,6637.983242
-150.0,34,6723.845621
1030.0,40,6811.124192
470.0,41,6891.110285
160.0,40,6965.99895
500.0,41,7044.55845
170.0,40,7121.030659
340.0,40,7204.317153
200.0,40,7283.847206
440.0,40,7370.849852
490.0,40,7444.494441
-100.0,24,7523.726237
-80.0,30,7588.11627
100.0,40,7663.490616
1220.0,40,7743.76168
490.0,40,7821.699341
410.0,41,7907.027921
440.0,41,7987.504599
240.0,41,8075.849477
420.0,30,8135.297672
540.0,41,8216.264412
170.0,41,8290.953834
70.0,40,8371.864738
380.0,40,8460.881844
250.0,40,8554.650252
180.0,40,8644.28674
-190.0,22,8693.508996
100.0,40,8771.314737
160.0,36,8841.844035
150.0,41,8931.273246
-130.0,30,8992.665228
-250.0,28,9083.594426
320.0,40,9165.400172
210.0,34,9235.579002
630.0,40,9318.485099
430.0,40,9400.013656
140.0,40,9490.0741
90.0,40,9574.472759
-90.0,38,9658.351372
-180.0,30,9727.259298
900.0,40,9809.041257
200.0,40,9905.475521
-190.0,18,9982.416241
-230.0,12,10067.650452
-170.0,26,10134.170748
140.0,40,10214.171771
-150.0,28,10281.169807
130.0,40,10358.497946
420.0,40,10445.756995
400.0,28,10507.468508
-230.0,20,10590.89508
530.0,40,10668.248311
140.0,40,10752.911502
50.0,40,10842.602115
-20.0,40,10929.602478
0.0,36,11001.562088
-240.0,18,11084.979625
-40.0,41,11168.535421
-110.0,30,11233.846457
400.0,40,11318.999746
570.0,40,11411.516599
-270.0,24,11492.989891
-210.0,30,11576.27419
1300.0,41,11662.448671
80.0,40,11746.288251
70.0,40,11836.093395
40.0,40,11915.264225
200.0,40,11998.726494
320.0,41,12086.675993
60.0,41,12173.639439
1600.0,40,12256.017996
100.0,40,12350.468861
420.0,41,12434.507384
140.0,40,12515.231765
470.0,38,12592.632076
-240.0,12,12637.774441
110.0,34,12707.117011
490.0,41,12792.245306
-190.0,24,12875.927014
320.0,41,12962.980362
-170.0,40,13049.097753
1510.0,38,13128.616728
450.0,41,13209.108998
390.0,40,13291.414941
-20.0,40,13376.490644
1440.0,41,13468.14083
100.0,30,13531.633958
470.0,41,13614.192007
1040.0,40,13699.540569
270.0,38,13783.373784
40.0,24,13836.315467
380.0,40,13920.764106
1590.0,34,13994.877231
-240.0,24,14062.129264
-250.0,20,14144.274358
-70.0,34,14236.238554
830.0,40,14324.453359
1440.0,41,14421.940797
570.0,40,14506.845716
-190.0,24,14593.818999
360.0,40,14683.597116
310.0,40,14769.025642
470.0,40,14862.267299
360.0,41,14949.348314
-250.0,14,15033.419189
380.0,32,15103.592096
120.0,41,15191.580631
410.0,40,15279.538478
370.0,40,15363.929248
410.0,41,15449.46304
370.0,26,15507.049708
430.0,40,15588.898567
-220.0,24,15645.643151
0.0,40,15727.15238
470.0,40,15809.984399
850.0,40,15894.728019
340.0,40,15975.883805
300.0,26,16034.335434
360.0,41,16123.839052
960.0,40,16218.561867
-80.0,32,16304.392612
340.0,40,16389.531325
700.0,40,16473.338199
110.0,38,16549.651566
340.0,40,16631.879824
510.0,40,16715.745574
390.0,40,16801.894226
490.0,32,16880.124272
40.0,34,16954.352536
-20.0,40,17038.354577
1000.0,40,17126.705967
430.0,41,17210.713113
-80.0,38,17301.372238
270.0,41,17386.913696
550.0,41,17479.941239
470.0,41,17564.123055
680.0,40,17661.998899
1560.0,34,17734.01956
450.0,41,17829.052901
300.0,28,17896.342265
2280.0,74,18278.818584
1630.0,128,19078.180918
