#{"t_start": 1560126452.291076, "env_id": "Diplomacy_Negotiation-v0"}
r,l,t
-240.0,18,79.049372
-140.0,36,155.066942
610.0,41,242.560869
380.0,40,326.568032
480.0,41,410.252899
510.0,40,490.735904
1210.0,40,567.468683
400.0,40,650.224664
120.0,32,710.337314
390.0,40,792.144989
1040.0,40,876.980688
110.0,40,950.713165
1140.0,40,1031.880531
110.0,40,1125.322495
130.0,40,1205.356189
-50.0,36,1289.078737
490.0,40,1365.877383
-30.0,40,1442.267523
260.0,41,1522.331093
670.0,40,1609.757319
580.0,41,1688.441638
10.0,40,1768.023331
730.0,40,1847.107052
1190.0,40,1922.422528
-190.0,26,2000.877558
-220.0,18,2071.142243
580.0,40,2148.730713
1240.0,40,2232.438388
140.0,34,2302.890582
90.0,40,2385.963669
340.0,41,2463.464488
440.0,41,2549.938557
-260.0,18,2608.03392
480.0,40,2683.640187
730.0,40,2770.42815
140.0,40,2851.291025
700.0,41,2934.361375
270.0,40,3028.013932
470.0,41,3115.462931
-190.0,34,3193.674305
170.0,41,3276.321077
120.0,3,4286.225522
180.0,20,4401.085701
820.0,208,5680.876218
