#{"t_start": 1560052477.004895, "env_id": "Diplomacy_Negotiation-v0"}
r,l,t
20.0,40,89.877685
270.0,40,170.94001
190.0,40,251.478533
500.0,40,333.498142
-20.0,28,390.158034
530.0,41,470.894646
240.0,41,567.98127
90.0,40,639.674889
10.0,40,722.117503
-240.0,24,801.97545
300.0,41,884.79713
220.0,41,968.819641
370.0,40,1050.691616
-10.0,40,1138.746184
500.0,40,1214.278143
510.0,28,1274.003824
-130.0,22,1334.544598
200.0,40,1416.983097
-130.0,34,1492.936539
-70.0,32,1568.168998
1420.0,41,1645.875155
-120.0,36,1730.527994
-220.0,26,1809.620944
-230.0,14,1874.127126
-150.0,34,1958.300508
-200.0,20,2018.81226
570.0,41,2098.825889
450.0,36,2172.990005
750.0,40,2248.580794
10.0,40,2325.485622
-140.0,30,2398.56583
430.0,41,2488.702705
-180.0,28,2568.220472
380.0,40,2648.008726
370.0,41,2734.650381
710.0,40,2821.900331
580.0,40,2899.411114
410.0,40,2987.812312
340.0,36,3058.367162
420.0,40,3143.897761
530.0,41,3228.908807
-210.0,34,3303.963268
-50.0,38,3375.778555
380.0,40,3460.080688
-150.0,34,3533.895829
480.0,32,3602.968571
550.0,40,3677.607008
170.0,41,3756.019028
40.0,40,3825.162804
490.0,40,3910.518006
190.0,38,3992.503562
-290.0,18,4070.915633
650.0,41,4150.976962
350.0,32,4217.677289
340.0,38,4286.130887
-20.0,40,4364.64325
150.0,30,4438.65032
260.0,40,4522.609282
110.0,40,4610.892822
430.0,41,4690.428396
190.0,41,4773.381647
240.0,40,4851.870917
-110.0,28,4928.999127
320.0,40,5009.947236
270.0,40,5091.672996
800.0,40,5172.037427
30.0,14,5378.039571
520.0,42,5636.257384
300.0,28,5811.775684
-210.0,14,5960.588381
550.0,40,6173.228225
1460.0,68,6593.870219
-200.0,18,6859.412715
-110.0,32,7060.550394
