#{"t_start": 1560228093.8087173, "env_id": "Diplomacy_Negotiation-v0"}
r,l,t
-140.0,30,73.852949
620.0,40,156.751128
350.0,41,238.902712
70.0,30,299.19739
170.0,41,377.43011
-60.0,41,453.406726
520.0,40,531.926025
-260.0,20,606.175348
-230.0,20,682.11647
-20.0,40,761.400632
820.0,40,837.357713
80.0,40,919.184482
420.0,40,997.121523
-20.0,40,1072.79718
1280.0,40,1158.862512
190.0,41,1238.580669
210.0,41,1318.984036
340.0,40,1404.874162
-250.0,14,1481.819556
-10.0,41,1562.664847
1510.0,26,1617.345136
170.0,40,1697.738055
-290.0,16,1777.97578
140.0,41,1857.898046
-200.0,24,1938.854809
140.0,34,2007.631635
250.0,41,2088.256986
170.0,41,2164.493382
600.0,38,2232.703189
480.0,41,2316.437931
380.0,40,2400.038997
-180.0,28,2480.938633
