#{"t_start": 1560310011.4543948, "env_id": "Diplomacy_Negotiation-v0"}
r,l,t
30.0,40,87.958677
0.0,41,170.475895
430.0,41,251.435562
-120.0,34,337.669958
650.0,40,421.937269
-220.0,12,462.014126
350.0,40,542.240551
310.0,40,619.223098
420.0,40,705.546463
120.0,40,788.183535
140.0,41,869.030418
-30.0,38,937.677916
360.0,40,1017.909043
90.0,40,1100.0746
1650.0,36,1177.477133
-70.0,40,1260.874873
730.0,80,1418.26157
170.0,41,1500.087058
90.0,40,1584.255867
-250.0,16,1644.509928
320.0,41,1732.423528
490.0,40,1817.655307
-40.0,36,1917.578263
650.0,40,1999.614302
-200.0,22,2055.933321
230.0,41,2134.942106
150.0,41,2220.958006
650.0,40,2302.659909
-180.0,26,2353.408262
320.0,40,2437.660642
700.0,40,2528.836278
540.0,41,2613.616832
310.0,41,2701.346899
430.0,40,2779.217515
590.0,40,2859.278277
50.0,40,2938.673789
640.0,40,3017.191773
240.0,41,3097.919259
690.0,40,3177.98504
280.0,41,3258.994102
90.0,41,3341.883735
220.0,40,3416.241634
120.0,41,3500.895777
20.0,36,3569.830794
-250.0,18,3645.19131
770.0,41,3733.590374
150.0,36,3806.95015
220.0,40,3887.776222
110.0,40,3965.168727
220.0,40,4047.082814
520.0,41,4131.162857
250.0,40,4218.834294
-40.0,40,4301.053345
-260.0,22,4377.116056
350.0,40,4461.757519
1370.0,41,4545.403888
560.0,40,4624.777721
170.0,40,4710.992302
-230.0,20,4772.242455
-140.0,38,4850.244338
-230.0,18,4904.516628
-50.0,38,4980.809103
-170.0,40,5058.352029
-220.0,24,5135.244066
0.0,34,5202.877953
-210.0,12,5264.959215
190.0,41,5347.406563
10.0,40,5439.497041
370.0,30,5499.22876
-150.0,26,5578.253723
-220.0,26,5662.884236
-20.0,26,5717.171022
290.0,40,5794.980767
360.0,41,5878.116346
410.0,40,5956.793171
200.0,41,6044.945563
-70.0,40,6129.042728
220.0,40,6209.882259
410.0,40,6293.024305
220.0,40,6371.875797
410.0,40,6453.251369
100.0,28,6513.823646
530.0,41,6599.077041
360.0,28,6662.136733
80.0,40,6747.116782
-190.0,30,6835.60482
-140.0,26,6917.73392
270.0,41,7005.192308
180.0,41,7086.578788
-240.0,22,7137.42389
-160.0,24,7221.666519
650.0,40,7308.358796
-220.0,30,7392.990381
380.0,41,7471.131572
-40.0,41,7558.872497
120.0,40,7639.236479
100.0,40,7718.853692
570.0,40,7806.407849
460.0,40,7893.623363
420.0,41,7986.574723
210.0,40,8073.788821
230.0,40,8164.40375
1070.0,41,8250.458156
-150.0,40,8330.425353
310.0,40,8421.632467
-110.0,34,8513.557214
-40.0,28,8573.082965
-60.0,38,8655.391978
590.0,40,8736.831201
1060.0,41,8829.64311
250.0,40,8912.677973
440.0,30,8978.683882
830.0,41,9058.482439
-160.0,20,9142.381873
380.0,40,9225.704361
200.0,41,9317.251382
430.0,40,9398.521227
180.0,41,9487.321291
220.0,40,9574.39948
320.0,41,9660.229604
400.0,40,9742.682563
260.0,41,9827.848662
-200.0,22,9906.452909
300.0,41,9993.378792
-130.0,34,10075.429333
180.0,41,10172.124007
550.0,40,10256.961179
170.0,40,10342.724168
1420.0,40,10424.067793
-90.0,32,10489.567991
700.0,40,10585.158127
-250.0,16,10644.020977
770.0,41,10729.910608
-260.0,14,10791.080588
-320.0,30,10874.083443
440.0,30,10934.945384
570.0,40,11018.073046
430.0,40,11111.586828
450.0,41,11199.424884
160.0,40,11289.258325
1520.0,36,11369.245919
250.0,40,11453.647387
-150.0,28,11519.432079
-170.0,32,11603.685497
-200.0,34,11687.028481
60.0,40,11775.757106
170.0,41,11863.102919
440.0,30,11930.96087
620.0,28,11990.405611
420.0,40,12075.075079
-170.0,24,12159.738112
-100.0,38,12237.577168
220.0,40,12321.669904
50.0,40,12411.454966
350.0,40,12495.241815
-270.0,12,12559.645219
-200.0,22,12641.010663
-220.0,36,12713.719098
160.0,40,12802.434314
-40.0,41,12887.972663
-10.0,41,12971.200974
40.0,26,13028.533459
210.0,40,13117.12681
230.0,40,13204.084065
390.0,40,13291.463209
370.0,40,13373.823333
530.0,41,13464.151499
1070.0,40,13556.688384
500.0,41,13648.525742
-230.0,14,13742.13574
-100.0,32,13833.664692
-10.0,36,13905.108002
440.0,41,13992.836265
390.0,41,14079.147759
20.0,40,14157.524
20.0,41,14239.045654
1190.0,40,14326.782495
-40.0,40,14410.061744
550.0,40,14495.47767
-170.0,32,14591.313625
30.0,41,14679.611318
1510.0,28,14751.656474
140.0,41,14838.406906
160.0,36,14916.228709
-90.0,40,14995.192522
450.0,40,15086.643641
-210.0,22,15163.470786
40.0,40,15252.668273
120.0,26,15307.909937
-90.0,38,15403.405937
370.0,40,15486.329607
190.0,40,15573.370275
350.0,41,15656.973267
850.0,41,15741.905966
70.0,40,15828.872207
100.0,41,15914.074007
260.0,38,16001.501361
750.0,41,16091.89914
30.0,32,16162.688055
280.0,32,16242.707552
-240.0,20,16323.921304
820.0,40,16404.609558
-150.0,30,16479.559369
320.0,41,16568.642245
500.0,41,16660.106444
150.0,40,16742.715826
210.0,40,16823.463898
-50.0,41,16905.628472
930.0,40,16988.266008
280.0,40,17070.873615
450.0,40,17154.10868
-250.0,14,17233.079468
1180.0,40,17320.027485
-180.0,26,17404.524796
420.0,41,17490.910825
-30.0,40,17573.373002
400.0,36,17655.663666
560.0,40,17744.844465
290.0,41,17834.607946
-30.0,36,17907.676573
400.0,40,17991.866917
840.0,41,18074.649439
310.0,40,18167.502243
10.0,41,18255.161417
1040.0,41,18344.092749
280.0,41,18435.762497
480.0,40,18522.143862
930.0,40,18606.394998
10.0,40,18687.96036
-220.0,24,18774.480702
-70.0,36,18854.064349
-200.0,34,18935.873209
310.0,41,19021.692125
-280.0,16,19103.833006
-80.0,41,19193.060474
-250.0,16,19277.938869
-160.0,26,19354.32499
90.0,30,19421.975443
-170.0,34,19509.69342
180.0,38,19596.687114
490.0,41,19686.884326
220.0,41,19778.514607
-270.0,20,19867.517591
160.0,59,20041.017715
100.0,30,20108.442782
250.0,41,20206.456348
260.0,40,20299.634949
560.0,40,20389.156835
200.0,41,20480.129897
530.0,40,20573.854565
-180.0,24,20635.255178
-130.0,28,20734.048052
360.0,40,20818.547135
420.0,41,20906.186722
200.0,34,20980.984323
590.0,41,21072.448996
-240.0,16,21163.52433
1520.0,32,21234.2528
-180.0,22,21319.365951
550.0,41,21422.292707
210.0,40,21508.736485
90.0,28,21574.824744
60.0,40,21672.790835
1050.0,40,21771.066025
560.0,40,21862.346871
320.0,40,21947.31937
360.0,41,22036.948678
890.0,40,22127.317246
230.0,41,22211.507248
390.0,41,22304.058778
-230.0,22,22401.210181
230.0,40,22486.365256
240.0,34,22562.722433
120.0,40,22646.11845
270.0,40,22743.884468
150.0,40,22829.860299
1110.0,40,22923.485032
-280.0,36,23012.657236
610.0,40,23105.357017
760.0,30,23182.459003
250.0,40,23270.323295
590.0,41,23361.990873
-240.0,40,23448.597134
