#{"t_start": 1560008365.7009711, "env_id": "Diplomacy_Negotiation-v0"}
r,l,t
450.0,40,87.946968
100.0,40,161.824928
260.0,40,237.644441
530.0,41,323.444893
-140.0,34,410.295242
400.0,41,491.123
20.0,40,562.343489
340.0,40,641.535956
-250.0,16,719.800106
-220.0,18,798.830903
570.0,38,878.380211
190.0,36,947.495436
200.0,41,1027.368665
820.0,40,1107.180686
1000.0,40,1187.639704
640.0,40,1271.117092
40.0,41,1348.196037
550.0,41,1428.585228
-90.0,32,1519.372606
-220.0,24,1598.413838
170.0,41,1676.153007
-200.0,26,1743.240546
730.0,40,1829.070222
-200.0,18,1904.500778
240.0,41,1986.335744
400.0,41,2068.334592
120.0,41,2147.877074
1100.0,40,2235.377373
310.0,41,2314.48295
-150.0,36,2390.556249
490.0,40,2469.796207
-280.0,10,2545.369751
-70.0,40,2626.588413
100.0,40,2706.944091
-110.0,26,2790.269624
1520.0,36,2866.501012
-120.0,34,2946.569526
370.0,40,3028.616264
170.0,40,3115.514603
150.0,41,3197.068615
730.0,40,3284.909043
540.0,41,3370.874916
-180.0,24,3426.572093
810.0,40,3513.714246
-250.0,16,3594.85503
370.0,40,3680.590167
-40.0,32,3766.268835
340.0,36,3842.383878
460.0,40,3925.522414
240.0,40,4009.733516
-60.0,40,4091.5557
170.0,34,4158.033849
340.0,41,4242.06254
1140.0,40,4326.609307
-170.0,32,4402.862186
50.0,32,4467.925887
260.0,41,4551.247049
80.0,40,4635.327979
130.0,40,4716.710364
330.0,40,4793.17165
-80.0,30,4874.250267
-20.0,40,4950.374962
470.0,40,5041.789967
480.0,40,5128.788306
280.0,34,5195.463692
-120.0,40,5277.797184
-170.0,40,5360.494847
