#{"t_start": 1560337430.839158, "env_id": "Diplomacy_Negotiation-v0"}
r,l,t
130.0,36,78.267583
-210.0,22,144.825047
-250.0,14,220.824163
350.0,32,286.931856
470.0,40,363.635349
570.0,40,442.250564
260.0,40,525.622349
480.0,41,609.764847
-120.0,32,689.98729
10.0,40,767.789775
-200.0,36,851.568232
-80.0,38,933.014765
1420.0,41,1022.472563
530.0,30,1101.578525
480.0,41,1184.941158
420.0,40,1264.087314
-270.0,16,1328.101734
990.0,41,1410.623269
540.0,40,1494.555876
350.0,41,1579.629306
-130.0,36,1660.472204
290.0,30,1723.321535
220.0,40,1803.74324
-200.0,26,1880.10454
170.0,41,1967.299514
50.0,40,2050.311525
140.0,40,2131.403148
250.0,40,2217.715194
270.0,41,2298.602294
-240.0,16,2374.473705
800.0,40,2465.717226
510.0,41,2551.771786
1060.0,40,2630.827701
-240.0,16,2713.621979
-60.0,36,2792.535074
300.0,40,2871.186025
210.0,40,2941.655624
120.0,41,3023.264491
-80.0,40,3100.444806
610.0,32,3171.763375
230.0,41,3249.419011
440.0,40,3332.14799
490.0,40,3422.601098
70.0,40,3506.046552
-240.0,20,3591.040434
650.0,40,3674.970314
200.0,40,3757.567984
