#{"t_start": 1560132179.2112176, "env_id": "Diplomacy_Negotiation-v0"}
r,l,t
370.0,41,90.64013
170.0,36,158.06796
30.0,40,229.754011
410.0,40,312.897795
280.0,34,378.824579
380.0,40,461.933084
690.0,40,540.413165
1110.0,40,625.033883
400.0,40,702.130763
180.0,40,776.047262
1460.0,40,863.473397
-90.0,38,940.90697
240.0,40,1017.797086
-240.0,14,1091.082989
-120.0,32,1180.974219
120.0,40,1269.110324
40.0,40,1355.41602
250.0,40,1430.057683
120.0,41,1503.865688
440.0,40,1582.654045
130.0,30,1649.389854
380.0,40,1727.7853
330.0,40,1805.404251
210.0,40,1883.300094
350.0,41,1966.642016
830.0,40,2047.188783
330.0,41,2135.053466
-320.0,28,2209.433921
940.0,40,2295.877751
170.0,41,2376.71264
310.0,40,2457.860886
380.0,40,2543.881616
120.0,40,2624.474783
280.0,30,2688.953475
290.0,40,2767.432052
-110.0,24,2853.135932
1550.0,32,2921.495021
-70.0,32,3004.662986
520.0,40,3082.876136
660.0,41,3166.324965
110.0,41,3243.992595
160.0,40,3323.981411
230.0,40,3404.57252
520.0,40,3485.55349
880.0,40,3570.320165
170.0,40,3650.748909
330.0,28,3706.99807
280.0,40,3786.458358
190.0,38,3860.823794
-140.0,40,3938.96028
-140.0,24,4018.677192
350.0,41,4099.354467
-160.0,32,4174.346605
390.0,41,4256.036764
340.0,40,4333.308382
300.0,41,4407.584558
360.0,40,4480.944981
370.0,40,4559.73974
-190.0,18,4633.78186
-180.0,30,4711.435432
290.0,40,4785.70621
1030.0,40,4863.620713
290.0,40,4942.12554
-230.0,32,5024.315549
-140.0,34,5106.55964
-80.0,36,5177.548511
-20.0,41,5255.99334
-230.0,12,5331.708622
640.0,40,5413.118134
620.0,38,5489.735888
50.0,41,5573.31665
940.0,40,5650.807923
-60.0,26,5702.215892
-60.0,36,5782.015457
140.0,32,5850.140444
450.0,40,5926.025681
390.0,40,6008.051456
590.0,40,6085.558697
-40.0,41,6163.099174
280.0,40,6248.618364
350.0,40,6329.411684
20.0,34,6413.005422
210.0,40,6492.911428
300.0,40,6578.500831
-140.0,38,6657.181472
-70.0,40,6743.199118
340.0,41,6830.672457
700.0,40,6915.147945
-120.0,24,6965.433933
-90.0,36,7039.117372
350.0,40,7117.944517
390.0,41,7201.225538
-10.0,28,7259.521274
-170.0,26,7327.353556
-210.0,14,7386.759195
110.0,40,7469.704448
820.0,40,7551.789157
490.0,40,7633.300381
-40.0,40,7712.763044
470.0,40,7792.241981
370.0,40,7872.204479
-20.0,41,7952.689579
330.0,34,8020.619671
-60.0,36,8115.339954
540.0,40,8196.969431
540.0,40,8287.51473
-10.0,40,8363.209723
1780.0,38,8448.121535
160.0,34,8514.367121
-170.0,28,8576.058403
580.0,41,8660.1784
330.0,41,8750.748271
110.0,40,8845.791872
-10.0,40,8928.795014
280.0,40,9004.349661
330.0,40,9081.970124
640.0,41,9164.841594
800.0,40,9246.317898
1540.0,40,9329.031212
-180.0,32,9407.259978
140.0,41,9490.151296
240.0,40,9576.787422
-260.0,16,9662.336841
