#{"t_start": 1560001812.7653162, "env_id": "Diplomacy_Negotiation-v0"}
r,l,t
280.0,40,92.55361
-220.0,20,169.070416
190.0,41,249.991667
460.0,40,335.464381
40.0,34,403.105587
210.0,40,485.285083
600.0,41,562.557923
720.0,40,641.258125
160.0,32,704.333192
-170.0,28,762.220235
500.0,40,840.179877
170.0,40,921.290531
550.0,40,1004.166936
910.0,41,1088.010109
870.0,40,1166.034102
-130.0,24,1248.826643
200.0,40,1326.788152
210.0,40,1400.169971
460.0,32,1460.046257
910.0,40,1551.141828
480.0,40,1631.736492
620.0,40,1711.120893
560.0,38,1789.116217
1630.0,38,1862.423442
370.0,40,1949.310659
550.0,40,2022.421792
1150.0,66,2175.317195
240.0,40,2248.284938
760.0,40,2326.457332
140.0,40,2412.699721
-10.0,40,2496.561219
490.0,40,2581.766141
250.0,40,2659.818342
280.0,40,2739.028758
1560.0,38,2819.965011
1210.0,40,2897.779382
-210.0,20,2973.030591
450.0,41,3056.691729
-20.0,40,3146.632422
470.0,40,3228.814422
-260.0,18,3298.840391
-10.0,38,3368.968431
80.0,41,3446.502926
680.0,40,3524.165354
-10.0,32,3584.717971
200.0,40,3664.626742
-200.0,28,3736.383666
580.0,41,3817.577005
190.0,40,3899.269173
-60.0,36,3969.972703
400.0,40,4048.668575
-200.0,30,4124.740927
60.0,26,4182.273954
-140.0,32,4262.267272
360.0,40,4342.321108
320.0,40,4424.691682
520.0,41,4505.980051
380.0,26,4554.921372
360.0,41,4631.589802
-80.0,32,4695.797905
