#{"t_start": 1561127692.230762, "env_id": "Diplomacy_Negotiation-v0"}
r,l,t
500.0,40,91.415021
240.0,34,169.05172
450.0,40,252.627491
340.0,40,340.262848
180.0,41,427.186889
-130.0,40,508.903147
310.0,41,603.441359
-120.0,40,690.895418
-330.0,28,775.66153
40.0,41,866.714138
-100.0,40,961.619664
370.0,34,1035.10026
1040.0,41,1120.983834
-290.0,14,1197.689003
60.0,40,1280.224117
-190.0,36,1373.357644
200.0,40,1483.973819
-80.0,41,1567.488638
640.0,41,1654.814075
480.0,41,1756.070495
310.0,41,1830.120172
1460.0,34,1907.076031
-340.0,22,1966.467436
-160.0,41,2044.245469
-110.0,40,2119.712875
330.0,40,2197.31962
-250.0,36,2282.545495
150.0,41,2371.447573
1110.0,40,2454.260455
230.0,41,2540.204847
-270.0,34,2619.777395
260.0,40,2700.653258
190.0,41,2802.638908
470.0,40,2893.078071
-300.0,22,2969.466294
340.0,40,3055.461576
-300.0,14,3126.576041
260.0,40,3202.539728
250.0,40,3287.7055
670.0,40,3386.026261
1140.0,40,3471.027319
-360.0,32,3558.121265
-200.0,36,3651.892262
-40.0,40,3736.315907
-290.0,18,3810.653846
240.0,40,3891.204664
1540.0,36,3973.653509
310.0,38,4053.634087
-50.0,38,4149.551529
-240.0,36,4235.49604
530.0,40,4318.125461
-290.0,22,4394.132968
130.0,41,4471.440595
230.0,40,4552.169711
-260.0,32,4629.374103
1110.0,41,4731.021704
-90.0,40,4835.211096
720.0,40,4919.317203
70.0,40,5012.119578
130.0,41,5096.082849
250.0,41,5187.08045
380.0,41,5277.972688
-50.0,40,5364.575403
30.0,32,5433.276613
320.0,41,5516.302355
280.0,40,5606.743899
250.0,41,5687.749099
-50.0,40,5778.107524
110.0,40,5858.373408
100.0,40,5939.990304
220.0,36,6014.02887
260.0,40,6105.485828
-230.0,28,6194.33749
270.0,40,6284.368799
-180.0,41,6365.734306
300.0,30,6428.100541
140.0,32,6487.774723
170.0,41,6579.036099
-340.0,28,6668.363078
990.0,40,6759.158248
1230.0,40,6852.606728
260.0,40,6938.660503
470.0,41,7022.352322
310.0,41,7111.466104
10.0,40,7209.814758
160.0,40,7305.286712
670.0,40,7399.109824
1430.0,30,7466.201345
-120.0,40,7551.006994
630.0,40,7627.950732
-290.0,26,7704.379868
40.0,40,7785.12163
530.0,40,7867.797074
50.0,41,7948.900841
-240.0,22,8032.544091
140.0,40,8112.243358
-270.0,28,8194.17248
-30.0,40,8290.6589
110.0,41,8371.773565
-80.0,40,8450.280029
190.0,40,8547.647264
-260.0,26,8614.610409
-210.0,28,8713.09376
-150.0,40,8801.967017
-150.0,36,8893.216349
350.0,41,8975.975999
-230.0,40,9067.05411
540.0,40,9154.063159
-290.0,36,9231.28866
-300.0,20,9285.692
-290.0,26,9358.902798
