#{"t_start": 1561048073.8600547, "env_id": "Diplomacy_Negotiation-v0"}
r,l,t
310.0,40,106.288167
-270.0,28,183.26237
390.0,40,272.841176
-190.0,36,364.679952
-30.0,41,455.759073
-250.0,40,544.106421
120.0,34,617.80636
180.0,40,705.2415
-280.0,36,785.225793
380.0,40,865.718343
370.0,40,944.095384
260.0,41,1036.401103
-270.0,26,1114.521184
640.0,40,1200.932804
-230.0,34,1282.053241
150.0,40,1358.933578
350.0,40,1442.323986
120.0,40,1529.527123
-210.0,34,1618.826595
180.0,40,1705.725796
-170.0,36,1777.153078
-90.0,40,1857.9295
-210.0,26,1951.794704
280.0,40,2036.627222
-170.0,36,2144.048234
470.0,40,2226.136092
-100.0,40,2320.002686
720.0,41,2418.975748
-260.0,24,2491.022358
-210.0,30,2577.703447
-270.0,20,2659.839642
1170.0,40,2747.309762
-130.0,28,2814.092448
180.0,41,2909.487391
390.0,40,3000.456036
350.0,40,3084.227568
370.0,40,3166.399847
290.0,32,3237.989212
1060.0,41,3331.111927
170.0,40,3415.519212
110.0,40,3508.514242
680.0,41,3605.984406
-160.0,40,3689.369176
1460.0,26,3750.721705
-140.0,40,3829.248386
-150.0,40,3909.351408
-270.0,24,3990.734293
30.0,26,4046.908987
80.0,40,4139.375036
440.0,40,4219.202295
-270.0,20,4303.478097
190.0,41,4400.564588
-170.0,36,4492.973389
-340.0,28,4564.653697
40.0,40,4681.118244
-280.0,24,4754.858449
400.0,41,4843.615428
-210.0,28,4934.894596
820.0,40,5032.878394
-230.0,36,5116.077981
40.0,30,5179.026126
170.0,40,5259.34233
260.0,40,5344.607747
250.0,40,5427.759176
60.0,40,5520.952617
100.0,41,5607.469823
-290.0,22,5664.563133
350.0,40,5746.298486
-20.0,40,5831.640194
-270.0,20,5907.485782
210.0,40,5997.467767
570.0,40,6105.995961
420.0,32,6173.412838
160.0,40,6259.189581
30.0,42,6347.748142
50.0,41,6430.549387
420.0,40,6509.276208
400.0,40,6596.885187
80.0,40,6679.214282
0.0,40,6765.676758
-220.0,30,6868.390368
760.0,40,6949.001545
-170.0,40,7031.814714
-60.0,30,7096.27736
190.0,41,7192.841418
710.0,41,7281.845363
-280.0,14,7348.699798
-80.0,40,7454.891968
180.0,41,7536.047799
160.0,38,7609.408705
130.0,41,7698.052546
440.0,41,7793.38431
980.0,40,7877.027216
90.0,40,7966.964134
-310.0,32,8062.868798
20.0,40,8150.570233
-240.0,32,8243.913961
-150.0,32,8312.031824
-280.0,24,8390.083956
230.0,26,8446.74327
-270.0,36,8539.739438
-150.0,36,8612.640585
560.0,40,8693.687204
100.0,40,8784.71091
20.0,40,8860.002877
-280.0,22,8940.369118
150.0,40,9029.922464
250.0,40,9118.381501
-310.0,38,9208.273507
30.0,41,9303.318407
590.0,40,9386.026421
-290.0,16,9434.040731
-130.0,40,9535.575225
900.0,40,9626.149638
500.0,40,9720.208061
30.0,34,9792.689272
-180.0,40,9867.838289
210.0,38,9950.594053
-250.0,32,10036.909378
340.0,41,10125.885568
350.0,22,10177.713678
680.0,28,10249.054666
-130.0,26,10308.671727
550.0,40,10398.193551
40.0,41,10481.382499
-270.0,20,10544.042964
-290.0,24,10622.515402
-200.0,34,10720.308693
470.0,40,10802.017861
70.0,40,10910.754225
-90.0,24,10960.390675
190.0,41,11052.230031
-30.0,30,11127.745441
380.0,41,11214.007615
440.0,41,11295.306089
290.0,40,11382.636953
1580.0,36,11458.273523
-250.0,30,11541.829039
-120.0,41,11629.518703
20.0,28,11690.74369
440.0,41,11779.607322
-140.0,26,11839.724617
-250.0,22,11921.895603
170.0,40,12004.876846
-290.0,26,12072.826399
-190.0,30,12169.232058
300.0,40,12259.890241
1190.0,41,12355.218778
310.0,40,12432.542022
580.0,40,12516.976799
-290.0,24,12584.341211
290.0,40,12667.655311
1160.0,40,12760.285331
120.0,41,12839.989734
160.0,38,12922.496101
-290.0,38,13004.367094
-130.0,32,13104.480846
380.0,40,13201.336379
340.0,40,13292.488151
110.0,40,13384.111145
50.0,40,13467.132573
90.0,41,13563.466257
120.0,40,13656.30364
770.0,41,13751.183762
340.0,40,13832.480532
-110.0,40,13937.695634
30.0,24,13996.219033
-30.0,40,14087.380602
-350.0,38,14174.456128
-80.0,40,14272.503394
270.0,40,14359.19942
10.0,40,14461.210272
-180.0,24,14510.836176
-140.0,34,14585.747378
0.0,40,14676.118082
-270.0,24,14757.757258
1340.0,40,14856.339913
-240.0,32,14929.661633
720.0,40,15011.269602
-120.0,40,15111.068036
270.0,40,15201.065744
-280.0,16,15255.824193
-220.0,34,15334.611561
220.0,40,15427.915731
10.0,38,15504.372754
-90.0,30,15564.403535
-280.0,24,15659.396094
-80.0,40,15772.677369
1350.0,40,15860.545192
-260.0,26,15927.512359
-270.0,32,16000.642796
410.0,40,16096.737968
260.0,40,16184.700501
60.0,40,16272.069122
310.0,40,16362.644797
-200.0,40,16447.583362
-220.0,36,16544.134119
700.0,41,16626.490791
50.0,41,16710.935289
330.0,41,16794.729178
-180.0,40,16883.434183
50.0,40,16968.91919
-300.0,14,17053.534847
1400.0,36,17138.928756
-270.0,26,17230.62435
-110.0,41,17343.464681
220.0,41,17432.97148
0.0,38,17513.419966
-300.0,16,17594.997637
30.0,32,17660.350106
440.0,40,17746.169501
400.0,22,17796.144586
1500.0,34,17869.312169
240.0,40,17964.322487
-190.0,30,18057.964887
10.0,40,18141.145271
570.0,40,18238.984074
80.0,40,18332.297236
420.0,40,18416.017574
1430.0,36,18494.691095
40.0,41,18576.018384
510.0,40,18660.232685
1520.0,38,18741.953571
420.0,41,18827.080303
200.0,41,18911.68329
220.0,41,19016.898485
350.0,40,19106.558197
1510.0,38,19189.194204
330.0,41,19274.725587
-300.0,18,19359.912294
-150.0,40,19449.649617
170.0,40,19539.537879
810.0,41,19622.268152
110.0,41,19702.767277
620.0,41,19786.648224
-400.0,20,19862.047134
1510.0,82,20058.612909
410.0,41,20154.252632
120.0,34,20232.402975
150.0,40,20319.993645
100.0,41,20406.761794
-70.0,40,20499.062407
70.0,40,20588.38237
220.0,41,20673.731265
420.0,40,20759.614472
620.0,40,20851.783429
220.0,41,20940.675249
720.0,40,21026.802798
210.0,41,21111.508118
660.0,40,21207.610038
820.0,40,21292.735688
-140.0,40,21388.603628
-300.0,16,21472.432405
100.0,40,21556.168945
-60.0,34,21634.195411
-60.0,34,21713.054537
110.0,40,21807.373556
480.0,41,21922.637749
-70.0,36,21996.58735
410.0,41,22084.073277
0.0,41,22172.165454
110.0,40,22260.512801
300.0,41,22355.243886
300.0,38,22444.176344
10.0,40,22527.967336
220.0,41,22617.462128
440.0,42,22741.08294
-300.0,18,22809.088551
700.0,41,22896.933776
620.0,40,22986.422112
700.0,41,23070.72455
210.0,40,23158.5327
220.0,41,23245.88583
410.0,41,23332.951378
300.0,40,23418.278387
210.0,41,23507.98845
200.0,28,23580.128566
300.0,41,23665.089296
-20.0,40,23763.294685
-290.0,32,23851.475383
10.0,40,23936.808879
220.0,36,24020.642962
210.0,41,24109.361515
200.0,30,24179.772871
400.0,41,24273.290205
110.0,36,24357.084826
1300.0,41,24443.825398
200.0,41,24535.52831
-300.0,34,24626.637305
-60.0,40,24723.485389
320.0,41,24812.066271
600.0,40,24904.671232
-300.0,26,24993.300733
100.0,30,25063.296735
210.0,28,25134.462383
210.0,41,25218.839037
30.0,36,25308.988426
1020.0,41,25397.972143
300.0,40,25485.471807
-160.0,41,25572.918559
820.0,40,25661.22118
330.0,41,25750.411779
-300.0,28,25830.699164
410.0,36,25915.626972
-170.0,38,26000.042063
120.0,41,26083.95979
