#{"t_start": 1561145108.5929444, "env_id": "Diplomacy_Negotiation-v0"}
r,l,t
130.0,38,107.477171
240.0,41,199.722601
320.0,40,273.651119
180.0,40,360.612982
-300.0,22,437.702826
190.0,40,521.862429
350.0,41,604.457947
-130.0,40,700.416953
110.0,36,787.39773
180.0,40,876.235732
-40.0,40,959.532465
50.0,41,1049.412353
30.0,40,1127.96472
330.0,40,1221.294847
-280.0,22,1303.291457
160.0,36,1386.69485
-300.0,18,1467.712082
-150.0,40,1551.889337
-230.0,34,1635.935106
-300.0,22,1713.888726
520.0,41,1809.301289
-80.0,40,1896.880242
170.0,40,1979.95696
-240.0,38,2064.067392
140.0,40,2145.447593
960.0,40,2230.334967
-290.0,18,2309.85384
130.0,32,2377.603821
20.0,41,2461.749304
-290.0,22,2528.836511
-340.0,28,2608.108214
-300.0,16,2675.778374
-280.0,24,2756.784658
120.0,24,2809.564656
300.0,40,2903.672026
60.0,41,2991.881801
50.0,40,3076.876225
-250.0,32,3170.920356
30.0,40,3250.191201
260.0,41,3350.45225
420.0,36,3429.379478
370.0,40,3519.578714
410.0,28,3578.457106
-30.0,40,3675.716547
-170.0,32,3746.247392
1320.0,41,3830.503577
-90.0,26,3884.026566
480.0,40,3983.546572
620.0,34,4055.509616
430.0,40,4142.624182
180.0,40,4227.950537
360.0,40,4311.251816
-270.0,22,4391.980361
-290.0,12,4473.642527
-280.0,24,4526.174282
-300.0,14,4609.14806
-270.0,30,4687.357107
1530.0,36,4757.72809
150.0,40,4837.50334
230.0,34,4906.18447
40.0,38,4988.628567
-120.0,40,5070.082042
210.0,41,5147.32088
360.0,40,5227.552997
60.0,40,5308.116249
-110.0,40,5401.73905
260.0,41,5486.565728
-190.0,41,5569.415384
-290.0,16,5637.409667
390.0,40,5723.730886
230.0,41,5808.125896
50.0,40,5900.859838
-260.0,32,5985.219574
1470.0,28,6063.292164
-30.0,40,6144.005852
330.0,40,6226.417458
-280.0,22,6302.031147
280.0,40,6386.989529
-130.0,40,6482.160521
-50.0,40,6564.510133
-250.0,40,6647.788858
80.0,40,6725.482288
-300.0,14,6850.199285
-140.0,36,7087.284804
1060.0,28,7289.8519
