#{"t_start": 1561140035.486773, "env_id": "Diplomacy_Negotiation-v0"}
r,l,t
-300.0,40,99.374013
-290.0,28,179.314184
-100.0,40,266.970765
-20.0,34,356.005054
-240.0,28,427.327716
-50.0,40,506.581225
390.0,40,604.934867
50.0,38,683.93466
-140.0,34,753.043598
1380.0,40,843.35983
480.0,36,916.986511
660.0,40,1021.956141
140.0,40,1120.911724
800.0,40,1222.799225
-110.0,40,1310.290369
250.0,41,1388.136233
430.0,41,1465.866385
60.0,40,1560.706037
1430.0,28,1629.970994
180.0,41,1729.199834
90.0,40,1820.747337
360.0,41,1897.031439
160.0,40,1992.083406
-100.0,40,2082.517884
450.0,36,2160.019004
-120.0,40,2253.181918
240.0,40,2337.478688
-290.0,10,2407.030067
-250.0,22,2486.448803
150.0,40,2563.253238
-110.0,40,2655.085926
420.0,40,2753.135018
200.0,40,2840.268603
10.0,40,2916.266313
-120.0,40,3014.378726
-200.0,40,3096.683982
250.0,40,3180.072213
-130.0,40,3259.105497
430.0,41,3343.170662
220.0,40,3420.96637
870.0,41,3518.058974
-300.0,12,3599.123886
300.0,40,3678.658082
160.0,40,3763.206077
70.0,40,3859.06202
680.0,40,3951.479109
340.0,41,4035.343973
1630.0,34,4108.5179
-70.0,40,4186.244421
340.0,40,4269.648461
-120.0,41,4353.016371
-90.0,30,4418.404269
60.0,40,4505.30031
310.0,41,4588.024386
110.0,40,4684.902546
-250.0,30,4775.896729
-270.0,38,4853.596539
-300.0,18,4931.519079
-230.0,38,5027.475402
