#{"t_start": 1561122533.7142375, "env_id": "Diplomacy_Negotiation-v0"}
r,l,t
-230.0,38,94.444519
30.0,28,149.370075
-280.0,20,229.30666
-60.0,40,343.802177
-10.0,40,437.080646
440.0,40,524.240274
160.0,40,609.736851
120.0,40,688.285137
-150.0,38,762.710486
1170.0,40,848.300128
-90.0,24,896.194607
-270.0,18,975.429103
-30.0,36,1052.546591
70.0,40,1142.94114
280.0,40,1230.469701
130.0,28,1286.435016
-20.0,40,1373.498347
130.0,41,1453.922301
-240.0,32,1541.256142
410.0,40,1631.023436
230.0,34,1701.638273
580.0,40,1793.040016
520.0,40,1888.141256
-10.0,41,1969.176321
1400.0,28,2029.13796
-210.0,38,2113.345571
-290.0,20,2194.255992
280.0,40,2279.708065
630.0,40,2364.132833
1550.0,34,2445.518075
40.0,41,2525.645858
1400.0,34,2593.896892
550.0,40,2693.56341
340.0,41,2773.935356
-280.0,24,2837.970038
-300.0,26,2912.739375
-220.0,32,2986.671993
0.0,40,3079.443136
550.0,40,3161.766953
-330.0,38,3240.350501
-420.0,44,3416.508219
70.0,32,3482.174651
-50.0,40,3563.216046
490.0,40,3647.387323
-160.0,38,3748.354018
-250.0,36,3833.412566
300.0,40,3924.50191
-260.0,20,3985.863238
160.0,36,4059.089109
-230.0,32,4149.666085
230.0,36,4224.972841
-190.0,38,4322.307203
560.0,41,4406.659021
-120.0,40,4500.972345
-140.0,40,4583.108996
-260.0,24,4671.355409
-230.0,38,4760.343131
310.0,41,4839.74355
400.0,38,4925.327216
-70.0,40,5031.026227
-230.0,32,5112.351242
