#{"t_start": 1561137097.0246544, "env_id": "Diplomacy_Negotiation-v0"}
r,l,t
-230.0,32,85.242393
400.0,41,179.972193
440.0,40,285.698998
-280.0,18,342.992032
320.0,34,408.466975
80.0,41,500.475772
-290.0,18,576.253079
-80.0,30,637.618846
450.0,40,727.659812
270.0,41,813.228868
-260.0,22,891.699829
-240.0,38,973.097777
260.0,40,1061.23082
-280.0,20,1108.568664
780.0,40,1198.592316
-300.0,20,1263.005348
610.0,41,1356.348695
30.0,40,1439.21151
220.0,40,1541.187436
1180.0,40,1627.070549
-250.0,36,1713.885623
740.0,40,1800.128168
-80.0,41,1881.115758
140.0,40,1957.183659
-260.0,32,2028.554178
880.0,40,2124.837787
-270.0,18,2192.188104
-260.0,30,2275.192852
870.0,41,2356.913327
320.0,40,2452.932303
-210.0,26,2521.145183
460.0,40,2601.576805
820.0,40,2718.354724
100.0,40,2799.704303
1570.0,38,2892.675798
