#{"t_start": 1560984563.9251044, "env_id": "Diplomacy_Negotiation-v0"}
r,l,t
1280.0,40,91.342673
-180.0,40,180.150546
-180.0,32,265.019209
-130.0,34,342.078735
-270.0,16,410.822321
1020.0,40,503.967331
380.0,40,582.644826
370.0,41,663.022305
230.0,41,750.450768
450.0,40,829.745991
-10.0,40,914.977289
30.0,40,1003.825362
260.0,40,1097.863643
420.0,40,1182.857864
1280.0,40,1270.17521
320.0,40,1354.260396
1260.0,40,1436.857762
-270.0,24,1502.592492
300.0,24,1553.155242
380.0,40,1638.431312
-290.0,38,1721.896676
-250.0,24,1786.308685
180.0,32,1857.50182
250.0,40,1936.175522
-190.0,34,2024.915761
350.0,40,2100.779959
1420.0,32,2165.956115
320.0,40,2251.340103
290.0,40,2350.491416
230.0,32,2412.645681
350.0,28,2482.164163
260.0,41,2575.705135
460.0,41,2667.401165
110.0,41,2750.648639
190.0,41,2843.629033
560.0,38,2926.094459
570.0,40,3017.785244
30.0,28,3079.303153
-150.0,38,3158.506858
220.0,34,3225.044354
-270.0,30,3298.684736
-300.0,14,3380.391554
150.0,40,3460.283885
-300.0,24,3533.360826
650.0,40,3617.018464
-260.0,36,3701.321838
-260.0,18,3766.805834
350.0,40,3854.226275
300.0,40,3947.116669
720.0,41,4029.373131
40.0,41,4115.058168
-110.0,32,4182.404725
400.0,40,4268.580805
250.0,40,4348.411209
190.0,40,4435.438994
50.0,40,4517.621945
220.0,40,4598.012494
100.0,41,4673.908175
670.0,40,4760.979156
390.0,40,4853.691332
430.0,40,4945.532611
-150.0,30,5010.040236
260.0,40,5096.277105
-260.0,32,5173.736951
150.0,38,5254.759689
1550.0,40,5339.12475
10.0,32,5407.316884
-230.0,28,5498.551143
240.0,38,5578.056056
230.0,40,5665.934937
150.0,40,5746.972815
-290.0,24,5831.219378
-250.0,24,5913.197738
-280.0,38,5997.012719
60.0,40,6087.511685
20.0,28,6145.163797
-210.0,38,6238.999354
-290.0,28,6311.009409
20.0,40,6393.328089
-290.0,36,6474.562401
410.0,40,6563.124009
-280.0,32,6642.912046
-230.0,34,6730.568202
-70.0,34,6804.323288
-100.0,40,6893.915412
340.0,40,6976.826495
-240.0,40,7062.611379
270.0,36,7141.686448
660.0,40,7223.25646
-70.0,41,7304.940206
280.0,40,7385.203849
-20.0,40,7467.367052
1180.0,41,7561.11149
-250.0,30,7635.774381
70.0,40,7723.283833
130.0,40,7800.580385
260.0,40,7888.063874
470.0,40,7976.429915
850.0,40,8061.811789
850.0,40,8162.618231
190.0,40,8252.488554
-170.0,34,8325.38437
550.0,40,8403.925883
560.0,40,8488.480858
-250.0,32,8564.927037
150.0,40,8649.349627
-70.0,41,8735.880801
1350.0,40,8821.969087
-270.0,30,8885.522248
40.0,41,8971.689822
420.0,40,9051.775064
320.0,34,9123.033566
950.0,40,9215.297895
330.0,40,9297.615052
200.0,40,9381.17371
120.0,40,9464.450387
-380.0,26,9555.097894
-70.0,41,9640.074744
-320.0,36,9734.472409
-60.0,40,9830.542674
450.0,41,9917.723771
230.0,36,9998.949484
340.0,38,10082.856243
110.0,41,10165.288877
-280.0,28,10251.122051
-90.0,30,10312.29281
150.0,40,10402.4025
-300.0,14,10484.180523
370.0,41,10583.462906
-300.0,24,10667.017271
480.0,40,10758.603173
80.0,40,10851.562474
60.0,36,10930.046397
-300.0,16,11016.898839
440.0,34,11086.520885
-90.0,40,11172.609659
0.0,40,11254.315246
350.0,40,11341.800675
350.0,40,11425.419963
30.0,41,11509.105074
250.0,40,11597.716543
380.0,40,11692.351231
140.0,40,11777.885067
-280.0,16,11859.265104
560.0,40,11941.621794
260.0,40,12023.039214
200.0,41,12102.209745
310.0,81,12270.340883
40.0,40,12353.256784
-270.0,38,12436.94138
170.0,40,12522.427667
70.0,38,12613.732835
1250.0,40,12704.659384
-70.0,40,12785.75979
60.0,40,12868.139732
-90.0,41,12950.733363
-290.0,22,13030.085403
60.0,41,13116.479744
240.0,41,13204.677085
-30.0,40,13295.802862
430.0,40,13379.041796
280.0,41,13476.143915
-270.0,24,13557.988173
120.0,40,13651.865188
-290.0,14,13737.6115
420.0,30,13807.844036
30.0,40,13888.953704
-300.0,14,13969.78492
140.0,41,14058.821177
-10.0,40,14148.986217
-30.0,41,14236.789884
260.0,40,14324.258974
50.0,40,14410.597084
210.0,40,14490.774135
230.0,41,14573.020945
240.0,41,14659.167399
-170.0,30,14721.362244
-300.0,20,14795.783337
1170.0,40,14879.204032
240.0,41,14963.421237
1210.0,40,15051.636545
630.0,41,15136.399513
40.0,40,15216.175081
560.0,40,15303.000189
140.0,40,15385.803926
-80.0,41,15480.017112
90.0,40,15564.944514
140.0,40,15654.322842
350.0,40,15743.93664
-110.0,40,15831.416697
1300.0,42,15947.582004
1400.0,40,16037.017352
150.0,41,16115.187807
-250.0,40,16195.993238
130.0,40,16280.948527
-280.0,36,16361.472193
780.0,40,16450.241754
360.0,41,16536.57566
70.0,32,16606.431364
0.0,36,16685.453447
50.0,40,16772.985542
-300.0,12,16851.602598
680.0,40,16944.516636
1510.0,30,17009.085748
10.0,32,17079.749682
1130.0,40,17162.48631
1240.0,40,17250.550733
-270.0,32,17318.237853
100.0,22,17366.809484
40.0,38,17450.891405
-240.0,36,17543.086674
30.0,28,17605.267701
-290.0,38,17689.067855
240.0,40,17773.837823
1440.0,26,17835.414105
-70.0,40,17917.873945
640.0,41,18015.732514
120.0,40,18126.47484
120.0,41,18212.410205
150.0,41,18300.32172
-230.0,30,18392.082175
540.0,40,18477.467429
10.0,41,18559.681775
310.0,40,18643.466958
310.0,41,18724.328386
-40.0,40,18821.341609
30.0,40,18908.320277
310.0,40,18992.844008
230.0,40,19075.089741
210.0,41,19157.798667
220.0,40,19239.254546
-220.0,30,19327.538711
-180.0,24,19380.355525
1240.0,40,19475.220442
230.0,41,19558.858969
100.0,40,19642.747615
-260.0,40,19736.448022
-300.0,26,19826.96537
-80.0,40,19911.219828
450.0,40,20007.981857
40.0,32,20082.628483
320.0,40,20169.876981
370.0,40,20265.308601
-300.0,14,20359.199018
-260.0,38,20453.597919
450.0,40,20540.401515
300.0,41,20627.649569
920.0,41,20712.583336
-300.0,20,20793.818735
-300.0,14,20847.465246
-60.0,32,20916.560052
40.0,40,21010.221581
20.0,40,21094.808417
300.0,40,21177.576984
150.0,40,21266.1849
130.0,41,21350.806095
330.0,40,21435.566608
-290.0,20,21515.736601
-280.0,34,21603.354437
220.0,40,21689.712364
140.0,40,21773.647849
540.0,40,21856.083109
-90.0,41,21941.544488
200.0,41,22023.749566
10.0,22,22076.554052
1360.0,41,22175.831428
-260.0,34,22268.470992
-160.0,40,22351.733046
-130.0,41,22443.634771
-70.0,41,22530.183132
-300.0,20,22618.764832
10.0,40,22704.139986
-310.0,40,22798.046164
330.0,26,22856.348869
260.0,40,22943.528977
240.0,40,23029.571824
-300.0,24,23117.383969
100.0,40,23206.950795
-270.0,20,23292.760168
-40.0,40,23378.344088
220.0,40,23461.174374
-280.0,28,23543.062313
30.0,30,23615.199487
80.0,40,23714.404639
300.0,41,23800.742193
-300.0,20,23888.116022
200.0,41,23972.39335
110.0,40,24056.741307
1230.0,41,24157.244373
120.0,40,24249.949085
120.0,41,24337.527879
1400.0,26,24400.080452
140.0,40,24488.457801
400.0,40,24576.165629
510.0,40,24664.171074
200.0,41,24755.208333
120.0,40,24838.89447
-300.0,14,24931.082913
210.0,20,24981.472171
-300.0,28,25073.99512
430.0,41,25163.395552
300.0,30,25235.992025
-300.0,28,25308.058204
-280.0,36,25397.27913
-300.0,30,25496.134452
320.0,40,25584.756158
-300.0,20,25667.213987
120.0,41,25758.653993
-80.0,40,25851.675506
-100.0,40,25939.382856
-170.0,38,26022.080417
-100.0,40,26105.99461
-300.0,24,26233.054211
400.0,41,26321.472699
-250.0,24,26412.768958
210.0,41,26501.470473
-300.0,18,26590.933551
-70.0,40,26680.40852
130.0,41,26766.625386
210.0,40,26852.444316
220.0,40,26940.186197
300.0,41,27027.149398
520.0,40,27118.214352
-300.0,16,27203.279417
-280.0,32,27291.084654
0.0,41,27378.904886
0.0,41,27467.715521
650.0,40,27556.420281
30.0,32,27631.738339
-250.0,40,27724.002186
300.0,41,27811.246496
310.0,41,27899.386611
130.0,41,27988.490952
140.0,40,28074.550712
20.0,40,28168.929807
-80.0,40,28257.554213
410.0,34,28333.554714
-300.0,30,28424.351683
200.0,41,28507.451701
240.0,40,28599.058352
300.0,41,28687.052426
120.0,41,28774.854085
200.0,41,28865.699074
210.0,41,28953.049465
270.0,40,29050.552348
200.0,40,29135.306484
1400.0,38,29222.2152
-200.0,24,29278.96252
110.0,41,29364.943864
-280.0,28,29451.874184
520.0,41,29543.286171
1120.0,41,29635.822487
-300.0,18,29725.385932
-300.0,12,29809.017847
130.0,40,29901.760372
-300.0,20,29993.968312
640.0,40,30085.682873
110.0,40,30171.869069
120.0,41,30259.003394
10.0,28,30324.970972
-290.0,30,30393.853827
700.0,41,30482.62571
-200.0,40,30568.75339
10.0,40,30656.765471
-370.0,38,30751.056794
-180.0,40,30845.000317
-180.0,26,30910.084686
410.0,30,30976.515642
-190.0,41,31062.621896
600.0,41,31149.226463
150.0,40,31245.642175
10.0,28,31310.599772
20.0,41,31393.733417
-280.0,30,31481.567289
230.0,40,31570.315026
900.0,79,31761.78263
520.0,40,31859.451409
-170.0,40,31955.729242
100.0,41,32042.391374
20.0,40,32132.257385
-290.0,30,32221.30237
-300.0,14,32312.734412
400.0,40,32403.829865
-300.0,30,32497.750772
-300.0,14,32556.017867
300.0,40,32646.141906
-230.0,36,32749.409914
-100.0,40,32839.805878
0.0,41,32929.132568
900.0,40,33019.754378
930.0,40,33118.603383
10.0,41,33206.80268
1110.0,41,33296.820234
-300.0,32,33389.308201
100.0,40,33483.971774
600.0,40,33583.013343
400.0,24,33642.322398
1800.0,30,33713.924428
420.0,40,33801.726134
-400.0,36,33884.519146
-290.0,32,33971.549461
