#{"t_start": 1561161604.662738, "env_id": "Diplomacy_Negotiation-v0"}
r,l,t
-270.0,32,69.694278
-270.0,36,146.700721
1450.0,32,212.910386
320.0,40,296.775457
630.0,40,380.225658
-300.0,22,453.368927
590.0,40,542.432089
-240.0,26,632.72581
-240.0,40,724.842904
-240.0,36,810.71979
750.0,41,893.659143
-230.0,30,984.077441
340.0,41,1066.831391
-290.0,16,1124.970804
950.0,40,1206.318748
-130.0,40,1287.405152
-290.0,26,1356.03407
50.0,40,1441.967315
-150.0,40,1524.541877
-150.0,34,1601.234398
-210.0,36,1691.568005
-150.0,38,1773.196886
-270.0,34,1862.018925
-290.0,20,1919.866094
-240.0,34,2007.840939
250.0,40,2090.650295
550.0,41,2169.261935
180.0,40,2265.940507
260.0,40,2342.55126
30.0,41,2420.121445
70.0,32,2488.758319
1350.0,41,2578.488036
290.0,40,2660.568488
1100.0,40,2747.117218
30.0,40,2848.335269
-90.0,40,2938.927654
170.0,40,3026.079506
280.0,40,3111.1577
310.0,41,3210.871625
-150.0,40,3296.226425
40.0,40,3376.581136
-60.0,40,3467.32157
340.0,41,3552.394821
120.0,41,3635.96234
-280.0,20,3715.077959
60.0,40,3806.279376
-70.0,41,3890.734241
-300.0,22,3969.930453
60.0,28,4037.606141
-240.0,28,4125.715692
-180.0,40,4223.332511
-40.0,40,4310.514688
680.0,40,4391.706484
130.0,40,4483.562514
-130.0,40,4561.813142
-300.0,16,4626.55161
-360.0,32,4708.170232
60.0,32,4776.620305
-170.0,26,4832.906332
700.0,41,4925.293443
-40.0,36,5004.984478
-120.0,40,5094.354758
90.0,40,5177.976579
180.0,40,5271.310947
-270.0,28,5340.228403
290.0,40,5429.32387
1570.0,30,5498.263106
240.0,40,5581.672244
120.0,41,5679.118457
-10.0,40,5764.972908
90.0,41,5850.366451
1400.0,30,5913.819386
-140.0,40,5995.121256
110.0,38,6078.970325
560.0,32,6146.095046
-210.0,40,6225.780725
960.0,40,6306.59551
-270.0,24,6392.996732
-70.0,32,6463.46943
60.0,41,6554.67907
220.0,40,6632.663458
70.0,41,6723.286466
-260.0,36,6805.77999
-130.0,40,6899.271283
270.0,40,6983.033857
30.0,32,7049.418107
1450.0,28,7113.3272
330.0,41,7202.734572
80.0,40,7288.988914
-110.0,40,7388.023626
690.0,40,7478.191106
170.0,41,7562.261569
-30.0,40,7643.839485
190.0,40,7735.105322
280.0,41,7828.440743
460.0,40,7912.093367
1220.0,40,7996.173782
170.0,36,8074.941372
360.0,40,8163.185495
90.0,40,8252.027029
190.0,70,8428.024874
-280.0,24,8489.748082
430.0,41,8576.392064
670.0,40,8659.200289
310.0,40,8749.16343
-310.0,26,8831.599983
430.0,40,8915.077596
280.0,40,9000.169339
-120.0,40,9082.823209
220.0,40,9169.376209
-280.0,22,9251.810809
90.0,38,9337.381574
-230.0,28,9420.750962
-250.0,36,9503.543438
160.0,40,9590.980425
-60.0,40,9673.346223
-300.0,16,9748.709916
10.0,28,9807.979162
370.0,41,9895.77741
-290.0,30,9974.395729
80.0,41,10058.164502
-240.0,34,10151.017878
-50.0,41,10241.907304
1460.0,34,10317.80336
-140.0,40,10401.497421
180.0,40,10482.336584
440.0,40,10576.622894
420.0,41,10657.351841
1430.0,32,10727.573449
240.0,41,10815.283617
290.0,40,10903.347411
-230.0,36,10994.580212
150.0,40,11085.644764
990.0,40,11176.528635
-230.0,40,11262.268495
260.0,30,11333.547415
750.0,40,11425.713796
480.0,40,11506.527628
40.0,40,11586.717853
170.0,41,11670.787094
150.0,41,11766.795523
20.0,40,11859.765507
220.0,24,11910.263001
250.0,41,11997.823689
220.0,41,12086.301325
650.0,40,12169.026682
-270.0,26,12241.432117
-140.0,40,12321.907913
1280.0,40,12414.157689
260.0,40,12498.163819
40.0,40,12586.408463
160.0,41,12669.286885
760.0,40,12761.477449
150.0,40,12844.295672
-170.0,40,12930.20216
-280.0,38,13010.526349
660.0,41,13100.079737
210.0,32,13167.489909
390.0,40,13247.083773
1350.0,41,13334.326118
170.0,41,13418.742474
470.0,32,13490.34863
-300.0,16,13565.83256
50.0,41,13645.483908
250.0,40,13732.168483
0.0,41,13821.115269
-240.0,24,13886.389906
150.0,40,13978.869607
290.0,40,14062.674416
330.0,40,14151.868341
220.0,26,14206.673988
-280.0,24,14278.079582
250.0,40,14362.368246
1500.0,36,14441.328794
-300.0,24,14519.262313
260.0,41,14611.819719
240.0,36,14689.635464
-270.0,32,14770.602097
20.0,40,14861.69248
0.0,41,14958.907619
380.0,40,15043.174232
-110.0,40,15131.308751
480.0,40,15215.316246
270.0,38,15294.910687
-10.0,40,15380.748087
-280.0,34,15461.532105
550.0,40,15552.251841
540.0,41,15651.755075
630.0,32,15724.365477
-200.0,30,15810.194258
830.0,40,15896.512589
170.0,41,15983.456443
320.0,28,16045.885668
280.0,40,16128.915391
690.0,40,16218.81193
-130.0,40,16303.76251
470.0,41,16393.624778
440.0,40,16476.154473
-300.0,14,16556.513389
740.0,41,16643.54255
230.0,40,16726.413071
