#{"t_start": 1561152443.9678497, "env_id": "Diplomacy_Negotiation-v0"}
r,l,t
-300.0,14,82.799271
560.0,40,179.986279
100.0,40,264.430152
640.0,41,352.974669
1070.0,40,434.727172
170.0,41,515.853763
980.0,40,602.11333
-250.0,40,689.228474
250.0,40,770.700559
-270.0,22,840.202812
160.0,40,931.012622
570.0,40,1022.571709
-170.0,40,1125.327325
-80.0,42,1234.961381
160.0,40,1320.363046
1170.0,40,1410.140205
-330.0,38,1497.376975
-190.0,36,1585.000762
-210.0,26,1661.694113
-290.0,20,1728.77542
-530.0,52,1865.750154
340.0,40,1942.098204
1470.0,30,2011.833008
-290.0,16,2086.508573
-250.0,30,2162.952882
150.0,40,2248.442948
220.0,40,2328.557461
450.0,40,2411.343848
-10.0,40,2497.704872
-20.0,40,2587.921821
30.0,40,2671.246901
-80.0,34,2750.047877
350.0,40,2834.220589
100.0,40,2923.025981
290.0,40,3007.509219
-320.0,30,3092.410698
440.0,41,3174.205739
-260.0,22,3258.171231
710.0,41,3342.663165
1420.0,34,3413.788657
130.0,34,3492.547545
-150.0,41,3577.454885
-290.0,28,3661.048472
520.0,41,3749.255606
90.0,40,3840.742674
-380.0,36,3921.802641
-150.0,41,4009.249272
860.0,40,4097.921347
60.0,40,4176.162984
60.0,40,4256.626362
70.0,40,4341.590632
110.0,41,4435.781162
-290.0,36,4520.612265
40.0,40,4608.104717
240.0,40,4690.56784
70.0,41,4789.1605
-130.0,40,4875.121729
450.0,41,4961.283451
-60.0,40,5043.892694
-290.0,20,5126.22752
430.0,40,5206.53256
-280.0,36,5287.441698
330.0,40,5371.880779
-300.0,12,5455.034203
420.0,36,5529.328573
-290.0,26,5602.68236
850.0,40,5683.912978
-60.0,41,5770.509799
230.0,40,5849.925031
340.0,41,5934.426735
230.0,40,6022.797371
1440.0,40,6114.291348
130.0,41,6196.636617
460.0,40,6277.889961
250.0,40,6367.09741
1270.0,40,6450.945846
350.0,40,6535.518359
-280.0,36,6618.220154
600.0,40,6697.278083
-240.0,40,6783.332125
70.0,40,6875.009382
-130.0,40,6959.13642
-300.0,20,7041.83958
10.0,40,7125.728276
150.0,41,7222.072407
110.0,30,7290.136478
460.0,41,7382.68602
-250.0,20,7470.760954
330.0,22,7523.324991
320.0,40,7618.209009
-130.0,40,7704.813933
320.0,41,7790.959835
-80.0,38,7869.890981
520.0,40,7958.370304
1420.0,32,8025.498919
150.0,40,8118.02385
520.0,41,8197.056244
120.0,38,8273.296216
-300.0,24,8334.090175
140.0,40,8417.597324
840.0,40,8509.241383
520.0,40,8597.467664
110.0,40,8680.291084
1660.0,34,8764.881179
630.0,40,8852.372985
60.0,40,8936.45882
250.0,40,9027.990036
110.0,40,9114.738427
