#{"t_start": 1561104417.017291, "env_id": "Diplomacy_Negotiation-v0"}
r,l,t
170.0,40,99.617304
260.0,40,181.987179
90.0,41,271.299005
-40.0,28,346.231658
-140.0,41,428.249865
1170.0,40,503.901006
460.0,40,581.17218
260.0,38,664.789559
-120.0,40,752.80567
80.0,40,845.650669
-290.0,12,923.285052
210.0,41,1008.465997
270.0,40,1099.481205
-250.0,34,1184.881669
500.0,40,1266.367114
-300.0,18,1329.205556
-170.0,34,1435.97854
-280.0,24,1513.728494
320.0,40,1612.748549
80.0,41,1696.466013
180.0,40,1788.242348
670.0,40,1874.625313
-200.0,36,1964.354108
-90.0,40,2047.965136
-250.0,24,2115.169976
-280.0,30,2188.793998
160.0,32,2256.711825
-110.0,28,2321.398215
-250.0,36,2411.272089
-260.0,22,2465.99163
-280.0,28,2550.440926
260.0,40,2638.213615
-260.0,26,2692.96551
-50.0,40,2777.486311
1170.0,40,2860.661133
650.0,40,2941.772073
1050.0,41,3033.660517
170.0,40,3116.22178
230.0,40,3202.37962
-150.0,40,3290.026995
60.0,40,3374.37703
230.0,41,3456.980021
-270.0,24,3533.784278
270.0,41,3630.992477
510.0,41,3710.702585
40.0,41,3793.431999
30.0,41,3887.825662
-10.0,40,3980.595319
370.0,32,4051.769983
140.0,38,4132.443572
400.0,41,4222.575989
280.0,41,4312.928094
20.0,41,4393.074507
-10.0,40,4481.471806
-300.0,20,4558.33588
-270.0,22,4638.707983
-50.0,40,4726.030533
240.0,40,4808.741022
1140.0,40,4894.879615
420.0,40,4976.148721
320.0,40,5062.535813
-300.0,22,5145.2765
260.0,40,5232.089394
-60.0,30,5304.186734
80.0,40,5392.368506
-50.0,40,5472.206449
270.0,41,5561.310655
220.0,40,5641.252557
-270.0,24,5729.073941
-80.0,40,5839.845655
760.0,40,5925.698511
150.0,40,6017.495894
-280.0,30,6080.462814
200.0,41,6161.087524
-60.0,40,6245.860782
340.0,40,6333.423096
200.0,40,6414.88057
240.0,41,6494.623279
450.0,40,6578.603199
120.0,40,6661.233891
-260.0,20,6740.905915
260.0,41,6832.244874
30.0,28,6890.671715
1460.0,28,6957.96314
630.0,40,7042.277026
-180.0,38,7128.26345
1290.0,40,7206.613963
260.0,40,7295.457048
-270.0,34,7381.832861
110.0,40,7458.917644
-70.0,40,7549.58056
630.0,41,7634.887125
190.0,40,7721.901698
160.0,40,7813.147209
-300.0,16,7886.436875
430.0,40,7969.691017
770.0,40,8060.584001
-270.0,30,8128.19744
110.0,26,8180.604312
60.0,40,8271.55358
-200.0,36,8362.429951
-20.0,40,8457.200992
20.0,40,8536.228265
-270.0,24,8621.764479
120.0,40,8706.781695
-230.0,30,8799.308719
-300.0,16,8866.639911
-100.0,41,8943.604808
10.0,36,9018.389938
-90.0,40,9102.469728
400.0,41,9189.179545
1640.0,38,9266.796568
1330.0,40,9347.345211
20.0,30,9414.566106
-360.0,34,9493.280202
30.0,41,9581.045229
-170.0,40,9663.57216
660.0,41,9759.536164
20.0,40,9839.454998
1500.0,22,9890.21699
290.0,41,9973.043333
350.0,38,10053.798925
-260.0,32,10137.64655
1120.0,40,10227.23867
440.0,40,10312.238526
290.0,40,10396.645118
140.0,40,10485.653784
-190.0,34,10558.404546
-280.0,28,10651.773661
-90.0,41,10733.465468
-20.0,40,10817.950332
10.0,41,10896.783364
50.0,41,10980.162168
240.0,41,11070.542331
350.0,40,11164.094213
150.0,40,11247.501005
-120.0,40,11338.056642
10.0,40,11418.464441
-50.0,41,11503.66589
230.0,41,11592.852574
0.0,40,11675.347836
130.0,40,11755.972652
240.0,41,11838.448456
320.0,41,11921.721549
-80.0,41,12007.111629
-60.0,41,12092.880915
-290.0,36,12177.566673
-230.0,36,12263.049094
210.0,41,12344.850585
230.0,38,12425.926073
140.0,40,12513.405157
320.0,40,12596.148441
100.0,24,12648.68261
1110.0,41,12732.579005
20.0,40,12814.837934
-300.0,14,12896.842956
-180.0,40,12979.139435
-200.0,40,13062.201821
260.0,40,13159.38052
-300.0,26,13227.966937
480.0,40,13324.744569
-300.0,18,13408.49515
-300.0,16,13496.46459
210.0,41,13581.159924
130.0,41,13671.358408
440.0,41,13756.677564
350.0,40,13843.482683
150.0,40,13928.116589
200.0,41,14009.014067
120.0,40,14091.22174
-50.0,40,14176.724312
350.0,40,14261.449321
220.0,41,14347.375399
110.0,41,14431.694993
240.0,40,14517.039344
40.0,40,14604.275044
-90.0,41,14695.487188
-290.0,26,14781.74425
100.0,41,14864.054186
620.0,40,14962.27115
420.0,40,15046.781829
10.0,41,15130.91438
550.0,41,15222.60285
140.0,40,15312.882309
140.0,41,15404.30702
210.0,41,15491.621937
30.0,32,15562.4879
220.0,40,15645.891913
-300.0,36,15733.581992
30.0,41,15820.968994
330.0,41,15908.509657
-70.0,40,15991.771075
330.0,40,16074.099971
-300.0,26,16156.016554
420.0,40,16246.859134
110.0,40,16331.942501
320.0,41,16421.433565
40.0,41,16505.288161
200.0,40,16589.465522
-300.0,18,16674.468023
-80.0,40,16758.130825
20.0,41,16846.498565
350.0,40,16940.324076
30.0,41,17031.356519
-150.0,40,17124.315351
-80.0,40,17208.384938
260.0,40,17300.84165
10.0,41,17385.801735
-300.0,24,17474.101198
310.0,40,17562.879939
-300.0,14,17649.023694
40.0,40,17733.398937
-100.0,41,17812.638207
460.0,40,17903.01596
320.0,41,17987.997046
110.0,41,18070.687085
