#{"t_start": 1561074203.511858, "env_id": "Diplomacy_Negotiation-v0"}
r,l,t
30.0,28,60.790387
-270.0,28,137.088791
440.0,28,197.871459
-50.0,34,274.133493
-290.0,14,334.704106
300.0,41,415.258589
-270.0,18,489.98974
190.0,40,566.749335
-270.0,24,627.525187
-250.0,28,692.262821
-50.0,40,793.310885
-230.0,28,883.071469
60.0,41,970.381119
120.0,40,1069.875257
60.0,32,1140.622101
-300.0,14,1217.871606
770.0,40,1298.680506
340.0,40,1375.084264
-10.0,40,1465.914279
-370.0,34,1547.237674
180.0,40,1624.623556
520.0,40,1707.388415
-20.0,41,1793.724062
130.0,40,1885.177624
540.0,40,1964.569915
-250.0,14,2046.676461
390.0,40,2138.521979
330.0,36,2215.117361
-290.0,18,2293.388588
-40.0,40,2376.116268
-290.0,14,2450.885266
490.0,38,2533.271916
-280.0,22,2608.315921
470.0,40,2695.281979
-250.0,24,2767.725251
-240.0,34,2856.702677
-280.0,16,2927.578721
190.0,41,3019.594814
100.0,36,3091.251673
-300.0,16,3155.840355
690.0,40,3240.058434
-250.0,26,3321.788403
-120.0,34,3401.606268
1000.0,40,3490.472966
620.0,40,3585.192603
980.0,40,3681.99601
-160.0,22,3734.770751
-40.0,40,3817.693045
690.0,40,3911.028863
230.0,32,3973.085371
-270.0,24,4061.820845
530.0,40,4166.19296
270.0,40,4248.383337
-180.0,40,4335.120919
-80.0,40,4417.272472
270.0,40,4519.973248
-260.0,14,4600.472391
790.0,40,4687.560384
200.0,40,4776.233844
-120.0,34,4849.65546
470.0,41,4941.504303
270.0,40,5028.979918
560.0,40,5110.865414
700.0,40,5206.282385
450.0,41,5298.11065
120.0,40,5379.715469
130.0,40,5466.068902
-260.0,24,5534.592341
-70.0,41,5615.250524
300.0,40,5730.991881
-250.0,32,5814.311316
50.0,40,5887.888686
340.0,36,5970.860621
310.0,30,6029.615297
-30.0,40,6125.848977
-140.0,40,6200.585746
120.0,40,6280.591837
-240.0,28,6369.942312
1440.0,24,6419.456031
300.0,40,6509.887482
90.0,40,6596.298385
-210.0,38,6686.543933
140.0,41,6775.274685
60.0,32,6839.235553
480.0,41,6931.713646
410.0,40,7021.803603
110.0,40,7117.006171
230.0,40,7215.059361
670.0,32,7284.13536
-210.0,28,7373.977155
450.0,40,7450.9489
500.0,40,7533.3468
410.0,40,7627.358227
-200.0,38,7713.741026
240.0,41,7795.046914
370.0,40,7882.523251
130.0,41,7957.514266
310.0,80,8138.814665
150.0,28,8198.518289
-150.0,32,8271.314542
20.0,40,8449.586365
-280.0,16,8696.157721
620.0,52,9031.002487
-250.0,18,9142.035359
-230.0,28,9272.804641
1570.0,30,9436.209525
-180.0,28,9695.602363
-280.0,30,9758.479967
300.0,40,9856.528399
630.0,41,9939.071591
-290.0,24,10000.7973
10.0,40,10081.055775
350.0,41,10167.037392
270.0,40,10262.599886
-290.0,22,10312.01299
400.0,40,10403.123694
-300.0,30,10478.474267
120.0,40,10567.335339
110.0,40,10644.348361
-300.0,16,10724.307464
-260.0,24,10799.027944
490.0,40,10896.4099
130.0,32,10967.261976
-60.0,41,11056.521253
310.0,40,11146.052625
140.0,40,11228.858616
140.0,28,11293.544796
-260.0,16,11371.730904
380.0,40,11461.335269
-50.0,41,11550.012421
-260.0,20,11630.929699
-150.0,40,11714.064918
-50.0,40,11796.965592
1560.0,38,11891.604293
90.0,40,11980.717917
270.0,40,12070.359617
40.0,40,12167.82594
-170.0,36,12258.393
30.0,41,12336.687087
-280.0,20,12411.962493
130.0,40,12498.948572
270.0,40,12584.592034
250.0,40,12692.015396
130.0,40,12789.39419
20.0,34,12861.80854
40.0,30,12934.591666
-170.0,40,13030.952221
150.0,40,13122.233235
-60.0,40,13202.702283
100.0,40,13298.078265
50.0,40,13393.712019
290.0,40,13478.341911
-250.0,28,13560.491594
1560.0,28,13620.557575
10.0,40,13715.262618
-380.0,34,13786.168731
-120.0,38,13860.025227
-220.0,38,13956.632452
-140.0,34,14029.968404
150.0,40,14120.844453
320.0,40,14208.733285
350.0,41,14297.155543
-240.0,38,14372.931985
200.0,30,14436.040455
-290.0,26,14514.821133
-130.0,40,14611.635394
310.0,40,14707.299011
410.0,41,14813.933265
280.0,40,14910.959553
740.0,41,15002.038683
310.0,41,15106.184552
-300.0,24,15188.473358
190.0,40,15285.11007
-260.0,36,15374.31111
420.0,30,15435.795965
210.0,41,15519.953375
