#{"t_start": 1561089769.0741756, "env_id": "Diplomacy_Negotiation-v0"}
r,l,t
-300.0,20,80.478204
410.0,40,182.118086
240.0,40,266.035164
330.0,40,354.373275
180.0,41,449.535851
370.0,40,539.130197
40.0,41,620.825572
170.0,40,714.765646
120.0,20,761.737839
-230.0,41,860.89683
190.0,40,950.345654
990.0,40,1036.21424
870.0,40,1121.630731
-60.0,36,1194.794716
500.0,40,1284.951564
290.0,40,1373.932039
360.0,30,1437.609593
-30.0,41,1517.912153
340.0,41,1595.13576
80.0,41,1687.912494
230.0,40,1768.26572
30.0,41,1863.075043
-130.0,28,1925.19839
-270.0,24,2008.493611
300.0,30,2067.518232
970.0,40,2148.412864
1170.0,40,2244.892989
-260.0,26,2321.650574
80.0,40,2401.665131
160.0,40,2495.660512
30.0,30,2559.556967
-370.0,22,2636.90752
-170.0,32,2703.217672
760.0,40,2785.800143
160.0,40,2873.071637
150.0,32,2943.292369
160.0,40,3024.880482
190.0,40,3105.900661
780.0,40,3194.391489
-260.0,26,3271.365658
150.0,41,3362.083969
410.0,40,3453.288423
320.0,41,3536.67137
240.0,28,3595.593748
-250.0,32,3679.25665
370.0,40,3768.465108
450.0,40,3881.189373
1470.0,38,3967.032868
-240.0,36,4052.375979
-20.0,40,4137.060017
-230.0,28,4234.288116
160.0,40,4319.484911
360.0,26,4385.906392
-90.0,40,4487.163172
0.0,40,4585.493942
-30.0,40,4672.366087
-160.0,28,4731.858186
-260.0,28,4811.531551
-100.0,40,4904.527594
640.0,40,4995.042352
-300.0,28,5066.503795
120.0,40,5156.302836
0.0,40,5239.633224
50.0,40,5329.910614
-290.0,24,5411.739686
400.0,40,5510.65224
210.0,41,5622.426595
310.0,41,5707.610526
220.0,32,5773.513118
250.0,40,5860.852898
-270.0,30,5932.90095
1400.0,28,5994.637668
-290.0,20,6059.314057
200.0,41,6145.24539
-110.0,41,6243.24088
210.0,38,6321.750472
310.0,40,6407.973479
220.0,40,6491.102236
260.0,40,6582.777188
-280.0,16,6640.204583
1250.0,40,6735.793129
250.0,41,6821.337023
1130.0,40,6911.310339
330.0,40,6992.982617
-300.0,18,7071.543497
-160.0,26,7129.227565
-90.0,40,7215.284445
-290.0,32,7304.184762
-270.0,34,7385.330851
250.0,41,7479.657358
250.0,40,7567.340486
1360.0,40,7656.280628
200.0,40,7755.330385
330.0,40,7846.978669
-280.0,22,7936.789278
230.0,32,8014.315201
420.0,40,8096.054034
150.0,40,8185.901043
220.0,41,8275.017098
1240.0,41,8364.701255
1420.0,38,8454.425508
420.0,40,8535.313437
-170.0,40,8621.415252
-300.0,30,8705.092369
410.0,40,8785.855992
-280.0,22,8868.939516
-350.0,38,8951.909758
-270.0,18,9037.68662
50.0,40,9126.053667
-50.0,40,9209.637648
210.0,32,9278.983795
0.0,40,9383.67185
290.0,40,9484.302957
420.0,38,9564.35417
30.0,40,9650.099487
100.0,41,9736.853607
10.0,36,9812.717073
130.0,41,9900.315229
880.0,40,9993.77367
-300.0,22,10072.284451
120.0,34,10147.107659
360.0,40,10239.212897
450.0,40,10328.328596
140.0,34,10405.243518
0.0,40,10487.224655
-60.0,40,10579.884849
-170.0,41,10664.152249
310.0,40,10745.813081
330.0,40,10838.383889
130.0,40,10928.776366
220.0,41,11014.328587
-210.0,36,11114.92343
320.0,40,11198.347686
130.0,41,11286.727162
260.0,40,11372.029263
-290.0,20,11458.020515
410.0,40,11542.671422
1250.0,40,11634.521729
50.0,41,11724.510172
130.0,40,11816.827226
1780.0,81,11987.430346
-160.0,40,12083.790066
230.0,40,12170.149986
-300.0,16,12240.865571
110.0,41,12326.537141
130.0,40,12415.748031
40.0,40,12501.866438
200.0,26,12560.426002
-300.0,14,12646.72624
-260.0,38,12735.25703
100.0,40,12818.936027
-100.0,40,12902.703146
-300.0,26,12982.003363
640.0,40,13079.311524
-300.0,14,13165.114618
-160.0,40,13257.628272
400.0,41,13343.64341
-300.0,16,13430.967359
0.0,41,13515.992133
-300.0,22,13602.144263
-80.0,41,13690.04802
210.0,41,13780.76287
-300.0,22,13832.479555
0.0,24,13888.994609
110.0,41,13985.422101
160.0,40,14077.447324
230.0,40,14170.501731
450.0,41,14261.35605
310.0,41,14347.071462
-290.0,34,14432.481161
-100.0,40,14517.903647
0.0,40,14602.378476
