#{"t_start": 1561044482.0045745, "env_id": "Diplomacy_Negotiation-v0"}
r,l,t
190.0,41,94.371205
-250.0,24,178.172949
-270.0,12,254.305879
190.0,40,338.866022
250.0,26,394.302896
50.0,26,456.753171
180.0,40,542.413876
260.0,40,628.736022
160.0,40,711.21822
200.0,40,797.777299
60.0,40,879.799537
170.0,40,968.71788
240.0,41,1047.127282
280.0,40,1128.100151
210.0,40,1212.431848
-170.0,64,1381.001574
560.0,40,1459.896712
1050.0,40,1539.360866
650.0,40,1620.461708
130.0,40,1720.958796
-240.0,26,1800.203243
180.0,40,1893.721263
-70.0,30,1952.310474
430.0,40,2037.350681
100.0,40,2129.736706
200.0,40,2226.603269
-180.0,32,2316.742092
240.0,40,2399.188926
140.0,40,2484.331524
50.0,41,2566.019297
470.0,40,2659.470285
-240.0,26,2749.377864
-40.0,40,2842.392465
290.0,40,2928.645387
520.0,40,3027.952167
280.0,40,3116.597548
230.0,40,3207.143728
940.0,40,3301.026238
550.0,30,3375.095736
-180.0,40,3454.223783
-210.0,30,3546.287925
